-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  -1.265   Longitude 116.831 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 7.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.44,0.47,0.52,0.48,0.47,0.49,0.47,0.51,0.53,0.46,0.46,0.4,0.47
ALLSKY_KT,2006,0.42,0.46,0.47,0.45,0.48,0.43,0.55,0.52,0.5,0.45,0.46,0.48,0.47
ALLSKY_KT,2007,0.43,0.45,0.47,0.5,0.49,0.44,0.46,0.49,0.52,0.47,0.42,0.44,0.46
ALLSKY_KT,2008,0.43,0.45,0.39,0.46,0.49,0.46,0.41,0.43,0.46,0.42,0.43,0.41,0.44
ALLSKY_KT,2009,0.41,0.43,0.45,0.47,0.51,0.5,0.53,0.5,0.52,0.46,0.45,0.44,0.47
ALLSKY_KT,2010,0.42,0.55,0.51,0.47,0.49,0.46,0.45,0.46,0.46,0.47,0.44,0.43,0.47
ALLSKY_KT,2011,0.44,0.45,0.42,0.43,0.49,0.48,0.52,0.54,0.46,0.47,0.46,0.44,0.47
ALLSKY_KT,2012,0.45,0.44,0.47,0.49,0.52,0.48,0.46,0.48,0.53,0.47,0.46,0.44,0.47
ALLSKY_KT,2013,0.46,0.45,0.49,0.45,0.45,0.52,0.47,0.49,0.46,0.48,0.47,0.45,0.47
ALLSKY_KT,2014,0.43,0.45,0.47,0.49,0.47,0.45,0.52,0.47,0.55,0.5,0.46,0.45,0.47
ALLSKY_KT,2015,0.43,0.43,0.47,0.53,0.53,0.45,0.56,0.58,0.48,0.46,0.47,0.49,0.49
ALLSKY_KT,2016,0.52,0.5,0.48,0.5,0.5,0.46,0.53,0.53,0.45,0.43,0.44,0.46,0.48
ALLSKY_KT,2017,0.43,0.44,0.43,0.47,0.46,0.46,0.49,0.42,0.45,0.49,0.45,0.45,0.45
ALLSKY_KT,2018,0.45,0.45,0.49,0.46,0.47,0.49,0.51,0.51,0.55,0.46,0.45,0.48,0.48
ALLSKY_KT,2019,0.45,0.55,0.52,0.46,0.49,0.44,0.54,0.56,0.54,0.49,0.51,0.46,0.5
ALLSKY_KT,2020,0.5,0.54,0.51,0.51,0.48,0.47,0.44,0.5,0.43,0.45,0.46,0.45,0.48
ALLSKY_KT,2021,0.45,0.43,0.48,0.49,0.47,0.51,0.47,0.47,0.43,0.47,0.42,0.44,0.46
ALLSKY_KT,2022,0.43,0.42,0.48,0.5,0.48,0.5,0.45,0.44,0.44,0.45,0.44,0.46,0.46
ALLSKY_KT,2023,0.43,0.42,0.46,0.47,0.48,0.48,0.5,0.58,0.55,0.54,0.46,0.48,0.49
ALLSKY_KT,2024,0.49,0.53,0.49,0.55,0.47,0.43,0.47,0.4,0.53,0.48,0.47,0.41,0.48
ALLSKY_KT,2025,0.43,0.44,0.45,0.44,0.49,0.45,0.52,0.41,0.46,0.46,0.46,0.45,0.45
ALLSKY_SFC_SW_DIFF,2005,2.5956,2.681,2.5884,2.503,2.3311,2.1552,2.2087,2.4175,2.5298,2.489,2.5956,2.5949,2.4727
ALLSKY_SFC_SW_DIFF,2006,2.6938,2.6378,2.6738,2.4842,2.3287,2.0062,2.1775,2.2678,2.4305,2.5716,2.3683,2.4809,2.4262
ALLSKY_SFC_SW_DIFF,2007,2.5207,2.6388,2.5464,2.3882,2.0717,2.2898,2.1734,2.3695,2.5574,2.6302,2.6244,2.7314,2.4602
ALLSKY_SFC_SW_DIFF,2008,2.7341,3.0053,2.5222,2.4754,2.3594,2.0719,2.0966,2.2517,2.3642,2.4679,2.3388,2.7984,2.4557
ALLSKY_SFC_SW_DIFF,2009,2.7386,2.6623,2.5147,2.5169,2.3414,2.239,2.2404,2.3714,2.4338,2.5236,2.7382,2.4055,2.4756
ALLSKY_SFC_SW_DIFF,2010,2.683,2.3081,2.4859,2.2898,2.1506,2.0921,2.2486,2.2296,2.5159,2.687,2.5865,2.7307,2.4187
ALLSKY_SFC_SW_DIFF,2011,2.5795,2.707,2.5886,2.353,2.3383,2.0714,2.1895,2.3897,2.4852,2.6542,2.569,2.8217,2.4782
ALLSKY_SFC_SW_DIFF,2012,2.8742,2.646,2.8565,2.5061,2.1574,2.1811,2.1941,2.2738,2.5831,2.5982,2.5202,2.6256,2.501
ALLSKY_SFC_SW_DIFF,2013,2.8018,2.6602,2.6573,2.3954,2.2366,2.207,2.4182,2.3803,2.5282,2.6513,2.7866,2.6892,2.5339
ALLSKY_SFC_SW_DIFF,2014,2.8178,2.7156,2.5296,2.4509,2.2889,2.119,2.3386,2.335,2.6054,2.7415,2.6657,2.6964,2.5246
ALLSKY_SFC_SW_DIFF,2015,2.7146,2.6465,2.6782,2.3527,2.2543,2.1487,2.3261,2.4948,2.568,2.64,2.5666,2.7487,2.5116
ALLSKY_SFC_SW_DIFF,2016,2.6026,2.6659,2.5457,2.3858,2.3683,2.1782,2.2586,2.5181,2.4518,2.7206,2.6462,2.7634,2.509
ALLSKY_SFC_SW_DIFF,2017,2.7883,2.765,2.5006,2.5207,2.2709,2.1996,2.3299,2.3174,2.4353,2.6338,2.7233,2.6074,2.5061
ALLSKY_SFC_SW_DIFF,2018,2.8591,2.5699,2.5992,2.3916,2.2786,2.221,2.351,2.3846,2.5987,2.5442,2.7478,2.7266,2.5226
ALLSKY_SFC_SW_DIFF,2019,2.6954,2.7485,2.6616,2.4091,2.2949,1.9625,2.3412,2.5135,2.5709,2.586,2.6854,2.7038,2.5138
ALLSKY_SFC_SW_DIFF,2020,2.4982,2.6138,2.6009,2.5474,2.2968,2.2579,2.2056,2.3899,2.3242,2.5207,2.6242,2.8104,2.4737
ALLSKY_SFC_SW_DIFF,2021,2.8718,2.6856,2.6611,2.5183,2.2956,2.1761,2.2188,2.4024,2.4226,2.5423,2.5992,2.7924,2.515
ALLSKY_SFC_SW_DIFF,2022,2.6993,2.6863,2.5872,2.4974,2.2572,2.1857,2.2927,2.3664,2.4331,2.615,2.6388,2.6585,2.4922
ALLSKY_SFC_SW_DIFF,2023,2.7588,2.8279,2.627,2.3902,2.2075,2.1497,2.2032,2.3441,2.545,2.6323,2.4804,2.5406,2.4737
ALLSKY_SFC_SW_DIFF,2024,2.7742,2.4413,2.5644,2.287,2.287,2.1535,2.1598,2.1461,2.508,2.6035,2.5414,2.7079,2.4317
ALLSKY_SFC_SW_DIFF,2025,2.6472,2.718,2.5891,2.4005,2.2178,2.2387,2.1881,2.2826,2.5272,2.4804,2.7725,2.7847,2.4854
ALLSKY_SFC_SW_DNI,2005,1.7436,2.1367,2.9484,2.2874,2.1977,2.7408,2.3597,2.8807,3.1846,2.2486,1.9613,1.1201,2.3165
ALLSKY_SFC_SW_DNI,2006,1.381,2.0705,2.1629,2.0597,2.3786,2.1257,3.7915,3.263,2.8435,1.8223,2.5332,2.6208,2.4242
