-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  -10.1772   Longitude 123.607 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 188.78 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.57,0.63,0.55,0.61,0.66,0.66,0.64,0.67,0.67,0.64,0.59,0.51,0.61
ALLSKY_KT,2006,0.44,0.56,0.48,0.55,0.64,0.58,0.64,0.69,0.71,0.69,0.68,0.59,0.6
ALLSKY_KT,2007,0.52,0.56,0.46,0.59,0.65,0.55,0.64,0.68,0.7,0.68,0.63,0.54,0.6
ALLSKY_KT,2008,0.54,0.42,0.55,0.64,0.66,0.62,0.68,0.66,0.69,0.66,0.59,0.47,0.59
ALLSKY_KT,2009,0.47,0.44,0.6,0.67,0.6,0.66,0.65,0.68,0.68,0.68,0.64,0.55,0.61
ALLSKY_KT,2010,0.48,0.6,0.64,0.57,0.58,0.61,0.58,0.65,0.61,0.59,0.63,0.44,0.58
ALLSKY_KT,2011,0.41,0.45,0.49,0.45,0.61,0.62,0.64,0.68,0.69,0.65,0.64,0.49,0.56
ALLSKY_KT,2012,0.46,0.56,0.5,0.6,0.57,0.64,0.65,0.7,0.69,0.68,0.66,0.58,0.6
ALLSKY_KT,2013,0.45,0.53,0.55,0.66,0.6,0.57,0.61,0.69,0.69,0.66,0.61,0.53,0.59
ALLSKY_KT,2014,0.49,0.49,0.61,0.6,0.65,0.6,0.63,0.69,0.71,0.7,0.67,0.52,0.61
ALLSKY_KT,2015,0.49,0.56,0.6,0.62,0.65,0.64,0.65,0.68,0.69,0.69,0.68,0.55,0.62
ALLSKY_KT,2016,0.62,0.58,0.6,0.68,0.62,0.61,0.64,0.65,0.66,0.65,0.64,0.51,0.62
ALLSKY_KT,2017,0.49,0.53,0.46,0.59,0.64,0.6,0.63,0.69,0.67,0.65,0.56,0.52,0.58
ALLSKY_KT,2018,0.4,0.58,0.61,0.65,0.64,0.64,0.66,0.65,0.69,0.67,0.57,0.52,0.6
ALLSKY_KT,2019,0.48,0.61,0.54,0.58,0.63,0.63,0.68,0.69,0.7,0.71,0.68,0.61,0.63
ALLSKY_KT,2020,0.53,0.56,0.58,0.62,0.57,0.63,0.66,0.69,0.68,0.65,0.65,0.5,0.61
ALLSKY_KT,2021,0.45,0.48,0.55,0.6,0.66,0.64,0.66,0.67,0.65,0.66,0.56,0.49,0.58
ALLSKY_KT,2022,0.47,0.49,0.57,0.64,0.63,0.56,0.62,0.66,0.66,0.61,0.55,0.55,0.58
ALLSKY_KT,2023,0.53,0.44,0.61,0.54,0.63,0.63,0.6,0.69,0.7,0.68,0.65,0.58,0.6
ALLSKY_KT,2024,0.55,0.54,0.49,0.59,0.64,0.61,0.61,0.68,0.65,0.66,0.65,0.44,0.59
