-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  -5.147   Longitude 119.432 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.99 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.48,0.5,0.51,0.51,0.59,0.63,0.59,0.62,0.66,0.57,0.5,0.43,0.55
ALLSKY_KT,2006,0.42,0.45,0.46,0.5,0.53,0.5,0.63,0.67,0.66,0.64,0.63,0.51,0.55
ALLSKY_KT,2007,0.44,0.43,0.48,0.53,0.58,0.5,0.58,0.62,0.65,0.6,0.54,0.42,0.53
ALLSKY_KT,2008,0.45,0.36,0.51,0.53,0.55,0.57,0.57,0.58,0.62,0.58,0.5,0.39,0.51
ALLSKY_KT,2009,0.38,0.41,0.54,0.57,0.56,0.61,0.57,0.66,0.64,0.61,0.58,0.49,0.55
ALLSKY_KT,2010,0.37,0.51,0.55,0.52,0.51,0.5,0.52,0.55,0.55,0.52,0.53,0.39,0.5
ALLSKY_KT,2011,0.45,0.46,0.43,0.48,0.56,0.6,0.61,0.65,0.63,0.59,0.54,0.4,0.53
ALLSKY_KT,2012,0.42,0.5,0.44,0.59,0.51,0.56,0.55,0.64,0.65,0.63,0.56,0.48,0.54
ALLSKY_KT,2013,0.34,0.48,0.52,0.52,0.53,0.54,0.5,0.63,0.66,0.62,0.52,0.42,0.52
ALLSKY_KT,2014,0.37,0.46,0.52,0.53,0.57,0.53,0.58,0.63,0.69,0.67,0.59,0.44,0.55
ALLSKY_KT,2015,0.41,0.48,0.52,0.52,0.58,0.55,0.67,0.69,0.7,0.66,0.6,0.47,0.57
ALLSKY_KT,2016,0.55,0.47,0.53,0.58,0.6,0.56,0.61,0.65,0.61,0.55,0.53,0.45,0.55
ALLSKY_KT,2017,0.43,0.44,0.48,0.52,0.55,0.49,0.55,0.63,0.63,0.59,0.5,0.45,0.52
ALLSKY_KT,2018,0.42,0.45,0.48,0.6,0.56,0.56,0.59,0.66,0.66,0.65,0.53,0.43,0.55
ALLSKY_KT,2019,0.41,0.52,0.47,0.53,0.6,0.58,0.64,0.68,0.68,0.67,0.63,0.54,0.58
ALLSKY_KT,2020,0.47,0.41,0.52,0.55,0.53,0.57,0.59,0.65,0.64,0.6,0.54,0.4,0.54
ALLSKY_KT,2021,0.39,0.44,0.5,0.53,0.57,0.59,0.56,0.6,0.57,0.58,0.5,0.4,0.52
ALLSKY_KT,2022,0.43,0.44,0.51,0.56,0.54,0.54,0.55,0.6,0.58,0.52,0.49,0.42,0.51
ALLSKY_KT,2023,0.44,0.38,0.52,0.53,0.56,0.56,0.6,0.68,0.69,0.68,0.58,0.51,0.56
ALLSKY_KT,2024,0.39,0.46,0.48,0.49,0.56,0.56,0.59,0.65,0.63,0.62,0.55,0.33,0.52
ALLSKY_KT,2025,0.41,0.43,0.48,0.52,0.53,0.48,0.59,0.61,0.62,0.59,0.47,0.42,0.51
ALLSKY_SFC_SW_DIFF,2005,2.7458,2.5397,2.466,2.179,2.0981,1.7174,1.7393,1.9944,1.9327,2.3122,2.7312,2.801,2.2706
ALLSKY_SFC_SW_DIFF,2006,2.7276,2.4377,2.6239,2.5207,2.0494,1.925,1.6958,1.7602,1.8847,2.2555,2.2351,2.2942,2.1996
ALLSKY_SFC_SW_DIFF,2007,2.7646,2.5354,2.7029,2.173,1.944,1.979,2.0201,1.9452,1.9668,2.3316,2.6218,2.4374,2.2841
ALLSKY_SFC_SW_DIFF,2008,2.4785,2.5339,2.7211,2.3366,2.015,1.7726,1.8898,2.0321,2.083,2.2522,2.6441,2.4912,2.2702
ALLSKY_SFC_SW_DIFF,2009,2.4444,2.6376,2.4677,2.2697,2.1506,1.7755,1.8336,1.7952,1.9846,2.4269,2.5579,2.6172,2.2447
ALLSKY_SFC_SW_DIFF,2010,2.298,2.3959,2.4442,2.4096,2.0664,1.9546,1.9567,2.165,2.2586,2.5879,2.6081,2.6381,2.3146
ALLSKY_SFC_SW_DIFF,2011,2.6902,2.6719,2.6002,2.4204,2.0522,1.7194,1.9003,1.8619,2.1094,2.4528,2.4929,2.5846,2.2944
ALLSKY_SFC_SW_DIFF,2012,2.7106,2.6405,2.4079,2.2018,2.154,1.9102,1.847,1.8314,2.0652,2.2476,2.473,2.7605,2.2699
ALLSKY_SFC_SW_DIFF,2013,2.3378,2.6441,2.4749,2.2781,2.2142,1.9661,2.0786,1.7875,1.9322,2.3268,2.6688,2.5243,2.267
ALLSKY_SFC_SW_DIFF,2014,2.5464,2.6918,2.5262,2.3755,2.0086,2.0047,1.9236,1.8238,1.795,2.1775,2.4398,2.6561,2.2447
ALLSKY_SFC_SW_DIFF,2015,2.447,2.7684,2.3472,2.4274,1.8598,1.9152,1.4482,1.4467,1.6469,2.159,2.4247,2.4358,2.1053
ALLSKY_SFC_SW_DIFF,2016,2.4029,2.705,2.4358,2.2418,1.8163,1.9416,1.6937,1.7232,2.0321,2.3923,2.7029,2.6599,2.2262
ALLSKY_SFC_SW_DIFF,2017,2.6508,2.5896,2.6033,2.2872,1.9488,1.9642,1.9229,1.7023,1.8948,2.4605,2.6258,2.4358,2.255
ALLSKY_SFC_SW_DIFF,2018,2.7511,2.4398,2.4377,2.0954,1.9111,1.7446,1.6632,1.7266,1.8847,2.1768,2.6326,2.4538,2.1583
ALLSKY_SFC_SW_DIFF,2019,2.3477,2.6489,2.4598,2.3642,1.7959,1.6694,1.4527,1.4861,1.7062,1.9507,2.2394,2.6945,2.064
ALLSKY_SFC_SW_DIFF,2020,2.3304,2.4804,2.4802,2.1775,1.9639,1.6961,1.8178,1.607,2.0122,2.3506,2.5798,2.724,2.184
ALLSKY_SFC_SW_DIFF,2021,2.5404,2.67,2.5399,2.0647,1.932,1.7455,1.8706,1.843,2.2865,2.2927,2.5961,2.5334,2.2402
ALLSKY_SFC_SW_DIFF,2022,2.6522,2.7235,2.6035,2.3297,2.1206,1.8816,1.9222,1.9694,2.2433,2.5356,2.6234,2.1907,2.3136
ALLSKY_SFC_SW_DIFF,2023,2.729,2.4766,2.5642,2.2366,1.985,1.855,1.7198,1.4314,1.5761,1.873,2.4636,2.651,2.1283
ALLSKY_SFC_SW_DIFF,2024,2.4319,2.3582,2.6407,2.1533,1.8581,1.7345,1.7081,1.547,2.0047,2.3112,2.5104,2.1689,2.1178
ALLSKY_SFC_SW_DIFF,2025,2.6362,2.6666,2.573,2.3746,2.0297,1.8571,1.7098,2.0086,2.0119,2.4286,2.5248,2.604,2.2834
ALLSKY_SFC_SW_DNI,2005,2.2682,3.0077,3.1306,3.5443,4.3896,5.4144,5.0069,5.1742,6.299,4.5542,2.791,1.6226,3.9348
ALLSKY_SFC_SW_DNI,2006,1.537,2.4989,2.3818,2.6326,3.6893,3.2801,5.6186,6.0648,6.1752,5.5452,5.6021,3.6487,4.0649
ALLSKY_SFC_SW_DNI,2007,1.9298,1.9162,2.4154,3.6281,4.5595,3.0948,4.4916,5.2721,5.9057,4.8559,3.48,1.8722,3.6278
ALLSKY_SFC_SW_DNI,2008,2.4317,0.8162,2.8958,3.7181,3.9732,4.5403,4.3294,4.5986,5.274,4.7926,2.887,1.3198,3.4721
ALLSKY_SFC_SW_DNI,2009,1.4158,1.4597,3.5338,4.2682,3.8726,5.0928,4.5214,5.9578,5.8205,4.9997,4.363,2.6923,4.0109
ALLSKY_SFC_SW_DNI,2010,1.4902,3.3542,3.6979,3.1298,3.2882,3.12,3.5808,3.6494,3.9377,3.1918,3.4954,1.1083,3.0811
ALLSKY_SFC_SW_DNI,2011,2.1617,2.0561,1.859,2.5039,4.0478,5.0035,4.9886,5.6561,5.4494,4.6303,3.8422,1.3711,3.6374
ALLSKY_SFC_SW_DNI,2012,1.6411,2.8478,2.2709,4.4578,3.1442,4.0387,4.2305,5.6222,5.8159,5.4984,4.1225,2.4403,3.8412
ALLSKY_SFC_SW_DNI,2013,0.9454,2.5476,3.3108,3.3238,3.3518,3.533,3.0446,5.551,6.0814,5.309,3.21,1.7918,3.5021
ALLSKY_SFC_SW_DNI,2014,0.9641,2.3102,3.1447,3.4661,4.224,3.5045,4.535,5.4454,6.7795,6.3665,4.6906,1.987,3.9578
ALLSKY_SFC_SW_DNI,2015,1.9219,2.4415,3.5347,3.1253,4.6742,4.0721,6.4812,6.8729,6.8923,5.808,4.8384,2.8814,4.4758
ALLSKY_SFC_SW_DNI,2016,4.0594,2.1593,3.4783,4.1525,5.1048,4.1052,5.0947,6.0528,5.231,4.0356,3.601,2.4797,4.1388
ALLSKY_SFC_SW_DNI,2017,2.0158,2.1276,2.341,3.3451,3.9127,2.9911,3.9122,5.7336,5.7089,4.6061,2.8834,2.7463,3.5362
ALLSKY_SFC_SW_DNI,2018,1.7184,2.3122,2.8913,4.8931,4.2763,4.393,5.0693,5.9863,6.1049,5.8805,3.5674,2.4223,4.1345
ALLSKY_SFC_SW_DNI,2019,2.1175,3.3838,2.639,3.3614,5.0935,4.7498,5.8992,6.7752,6.7786,6.5088,5.5087,3.7586,4.7213
ALLSKY_SFC_SW_DNI,2020,2.9798,1.7227,3.4939,3.9914,3.7301,4.6313,4.872,6.187,5.723,5.0705,3.983,1.3075,3.9799
ALLSKY_SFC_SW_DNI,2021,1.3519,2.4034,3.0734,3.9768,4.607,4.765,4.1266,5.023,4.225,4.758,3.0446,1.6615,3.5899
ALLSKY_SFC_SW_DNI,2022,2.1578,1.8852,2.9472,3.7486,3.6768,3.7006,3.9432,4.8007,4.4599,3.4097,2.8858,2.5666,3.3566
ALLSKY_SFC_SW_DNI,2023,2.0654,1.3846,3.1992,3.4356,4.049,4.1724,4.9008,6.822,7.05,6.7044,4.3582,3.0134,4.2811
ALLSKY_SFC_SW_DNI,2024,1.5226,2.718,2.5471,3.072,4.3786,4.4251,4.8319,6.2239,5.6974,5.2498,3.9576,1.0471,3.8066
ALLSKY_SFC_SW_DNI,2025,1.5629,1.77,2.4775,3.1073,3.5129,2.9278,4.6632,5.015,5.4173,4.5158,2.6681,1.669,3.2851
ALLSKY_SFC_SW_DWN,2005,5.0239,5.2999,5.3071,5.0278,5.34,5.4132,5.2313,5.9038,6.7351,6.0053,5.2675,4.5142,5.4214
ALLSKY_SFC_SW_DWN,2006,4.4633,4.8509,4.7827,4.9529,4.8533,4.3032,5.5246,6.2849,6.7217,6.7109,6.6072,5.3395,5.4523
ALLSKY_SFC_SW_DWN,2007,4.6788,4.5804,5.0573,5.2006,5.2572,4.3106,5.1276,5.8721,6.5849,6.2606,5.6407,4.3483,5.2466
ALLSKY_SFC_SW_DWN,2008,4.7532,3.8191,5.2925,5.2327,5.0254,4.9488,4.9997,5.5037,6.2983,6.1106,5.2294,4.044,5.1084
ALLSKY_SFC_SW_DWN,2009,4.0385,4.3613,5.6064,5.6563,5.1228,5.309,5.0426,6.2172,6.5174,6.4666,6.0895,5.0873,5.4638
ALLSKY_SFC_SW_DWN,2010,3.9391,5.4185,5.7226,5.1192,4.6358,4.3255,4.5907,5.1626,5.5534,5.4502,5.5711,4.0385,4.9548
ALLSKY_SFC_SW_DWN,2011,4.7438,4.8641,4.5533,4.7179,5.1048,5.178,5.3974,6.1121,6.3874,6.1958,5.6834,4.2036,5.2625
ALLSKY_SFC_SW_DWN,2012,4.4218,5.3621,4.5739,5.7785,4.6202,4.8778,4.884,6.0732,6.5717,6.6586,5.9107,5.0254,5.3923
ALLSKY_SFC_SW_DWN,2013,3.6314,5.0827,5.4026,5.1055,4.8545,4.6781,4.446,5.9758,6.6533,6.479,5.5294,4.4114,5.185
ALLSKY_SFC_SW_DWN,2014,3.9091,4.9027,5.4221,5.2505,5.1482,4.6027,5.129,5.9453,6.9768,7.0493,6.2441,4.5934,5.4317
ALLSKY_SFC_SW_DWN,2015,4.3853,5.0966,5.4398,5.1782,5.2922,4.789,5.9275,6.5338,7.0435,6.9307,6.3744,4.9414,5.6638
ALLSKY_SFC_SW_DWN,2016,5.8517,5.0162,5.5202,5.676,5.4427,4.8607,5.3489,6.1757,6.2006,5.7499,5.5536,4.6939,5.5094
ALLSKY_SFC_SW_DWN,2017,4.5576,4.7057,4.9944,5.1401,4.963,4.2487,4.8182,5.9434,6.3372,6.2086,5.2493,4.74,5.1617
ALLSKY_SFC_SW_DWN,2018,4.4868,4.7573,4.9846,5.8687,5.0585,4.8046,5.2294,6.2359,6.6833,6.8868,5.549,4.5458,5.4264
ALLSKY_SFC_SW_DWN,2019,4.3354,5.5073,4.9704,5.2416,5.4624,4.9958,5.6321,6.4558,6.9331,7.0838,6.6281,5.6486,5.7408
ALLSKY_SFC_SW_DWN,2020,4.9152,4.3639,5.4869,5.3827,4.8185,4.9565,5.2392,6.1862,6.4704,6.3283,5.7418,4.2115,5.3438
ALLSKY_SFC_SW_DWN,2021,4.1347,4.6769,5.2742,5.2534,5.1924,5.0909,4.9224,5.6292,5.79,6.0919,5.2356,4.2031,5.1259
ALLSKY_SFC_SW_DWN,2022,4.5564,4.6884,5.3066,5.4996,4.9258,4.6548,4.8643,5.6417,5.833,5.4614,5.1233,4.3951,5.0803
ALLSKY_SFC_SW_DWN,2023,4.6577,4.0433,5.4137,5.2003,5.0753,4.8562,5.2582,6.4524,6.9598,7.1402,6.1066,5.3549,5.5529
ALLSKY_SFC_SW_DWN,2024,4.1587,4.8744,4.9944,4.8571,5.1192,4.865,5.1794,6.126,6.4344,6.4793,5.8358,3.4692,5.1979
ALLSKY_SFC_SW_DWN,2025,4.3738,4.583,5.0158,5.1154,4.8269,4.1722,5.1624,5.7408,6.3274,6.1687,4.9116,4.3898,5.0688
CLOUD_AMT,2005,87.22,82.03,79.38,71.12,62.82,49.86,50.36,40.51,32.18,61.02,85.41,94.98,66.35
CLOUD_AMT,2006,93.98,79.56,89.6,83.86,68.06,75.34,38.2,27.85,30.67,29.18,37.6,73.06,60.46
CLOUD_AMT,2007,91.27,87.5,87.37,72.57,57.74,75.07,56.29,46.26,34.96,54.77,76.35,89.85,69.06
CLOUD_AMT,2008,83.05,96.47,87.82,74.96,61.12,52.44,54.03,59.42,45.37,59.6,86.18,96.1,71.32
CLOUD_AMT,2009,93.38,94.18,70.23,64.38,67.19,46.88,52.94,31.46,32.12,48.99,65.7,80.91,62.21
CLOUD_AMT,2010,92.42,75.51,66.5,75.55,74.57,75.62,73.5,65.64,74.91,82.91,77.7,97.06,77.69
CLOUD_AMT,2011,92.89,88.8,91.99,84.71,63.62,42.12,43.07,32.29,39.09,56.89,71.25,94.23,66.65
CLOUD_AMT,2012,96.25,82.87,88.62,63.99,72.72,57.65,59.22,36.15,38.44,40.06,65.52,88.51,65.84
CLOUD_AMT,2013,96.61,87.11,77.09,74.55,78.02,70.27,79.98,39.16,36.16,52.55,81.14,93.36,72.12
CLOUD_AMT,2014,96.06,87.89,76.58,73.43,63.45,64.95,55.15,36.15,26.75,33.85,58.97,93.48,63.78
CLOUD_AMT,2015,91.83,85.62,74.57,77.53,50.33,61.76,22.5,23.1,16.79,18.87,50.63,88.89,54.99
CLOUD_AMT,2016,70.55,91.98,82.97,80.41,63.85,72.02,55.61,42.64,56.26,77.65,93.17,96.76,73.54
CLOUD_AMT,2017,96.41,94.47,92.51,80.98,71.04,82.46,70.55,46.2,52.43,67.26,90.98,92.56,78.04
CLOUD_AMT,2018,97.43,91.02,89.67,73.46,66.07,63.7,50.09,27.48,39.96,43.03,86.84,93.26,68.34
CLOUD_AMT,2019,91.9,83.65,86.1,81.22,52.62,55.48,31.61,28.81,26.69,31.56,44.03,86.6,58.22
CLOUD_AMT,2020,83.52,93.66,84.45,73.31,73.96,60.97,57.72,41.91,58.58,69.34,80.85,98.04,72.96
CLOUD_AMT,2021,96.58,95.76,88.98,67.68,65.48,62.48,68.15,57.85,72.83,71.34,91.39,96.16,77.79
CLOUD_AMT,2022,95.27,94.89,88.05,75.95,80.55,77.48,65.79,59.36,72.94,87.32,93.57,90.44,81.71
CLOUD_AMT,2023,95.96,97.54,85.67,78.7,61.15,66.71,46.23,18.68,24.02,26.23,65.56,87.12,62.56
CLOUD_AMT,2024,95.25,85.94,92.91,83.66,62.37,64.08,52.75,36.99,48.64,58.3,80.47,98.08,71.57
CLOUD_AMT,2025,96.4,95.23,90.12,85.63,78.16,76.97,53.67,55.82,56.1,68.81,91.97,95.51,78.57
IMERG_PRECTOT,2005,12.09,5.46,8.59,7.87,2.73,1.7,2.04,0.6,0.27,6.65,7.03,13.8,5.74
IMERG_PRECTOT,2006,16.66,16.91,11.42,10.98,4.66,7.68,0.49,0.65,0.12,0.31,1.65,15.35,7.24
IMERG_PRECTOT,2007,15.32,18.78,7.32,6.47,4.01,6.26,1.38,0.94,0.69,2.15,7.45,20.22,7.58
IMERG_PRECTOT,2008,13.81,22.88,9.36,5.11,2.9,4.85,2.02,1.42,0.56,5.49,13.6,17.19,8.27
