-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  3.5952   Longitude 98.6722 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 173.9 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.46,0.47,0.47,0.5,0.46,0.5,0.49,0.49,0.5,0.41,0.44,0.43,0.47
ALLSKY_KT,2006,0.49,0.51,0.49,0.48,0.48,0.5,0.49,0.49,0.4,0.39,0.43,0.39,0.46
ALLSKY_KT,2007,0.42,0.49,0.52,0.47,0.52,0.48,0.45,0.48,0.47,0.42,0.44,0.45,0.47
ALLSKY_KT,2008,0.49,0.48,0.43,0.47,0.48,0.46,0.48,0.47,0.45,0.45,0.42,0.42,0.46
ALLSKY_KT,2009,0.43,0.49,0.49,0.5,0.5,0.52,0.5,0.43,0.46,0.47,0.42,0.45,0.47
ALLSKY_KT,2010,0.47,0.51,0.49,0.47,0.49,0.47,0.48,0.52,0.45,0.48,0.44,0.42,0.48
ALLSKY_KT,2011,0.43,0.48,0.46,0.48,0.48,0.52,0.52,0.44,0.45,0.48,0.43,0.41,0.46
ALLSKY_KT,2012,0.48,0.49,0.49,0.5,0.49,0.54,0.5,0.46,0.46,0.43,0.46,0.43,0.48
ALLSKY_KT,2013,0.49,0.45,0.52,0.47,0.51,0.52,0.5,0.46,0.45,0.45,0.44,0.4,0.47
ALLSKY_KT,2014,0.44,0.51,0.49,0.49,0.47,0.55,0.51,0.44,0.41,0.43,0.41,0.42,0.46
ALLSKY_KT,2015,0.5,0.52,0.51,0.46,0.49,0.53,0.47,0.45,0.39,0.3,0.43,0.48,0.46
ALLSKY_KT,2016,0.5,0.46,0.54,0.5,0.46,0.54,0.52,0.5,0.52,0.44,0.41,0.45,0.49
ALLSKY_KT,2017,0.44,0.49,0.49,0.48,0.46,0.55,0.52,0.49,0.46,0.5,0.42,0.43,0.48
