-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  0.5071   Longitude 101.4478 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.42,0.41,0.42,0.48,0.46,0.51,0.47,0.49,0.5,0.47,0.46,0.47,0.46
ALLSKY_KT,2006,0.41,0.47,0.48,0.46,0.46,0.48,0.5,0.49,0.42,0.38,0.43,0.38,0.45
ALLSKY_KT,2007,0.42,0.45,0.48,0.5,0.51,0.53,0.48,0.45,0.48,0.47,0.46,0.42,0.47
ALLSKY_KT,2008,0.44,0.42,0.42,0.49,0.51,0.49,0.49,0.47,0.47,0.46,0.49,0.43,0.46
ALLSKY_KT,2009,0.42,0.43,0.48,0.49,0.53,0.51,0.5,0.49,0.47,0.46,0.48,0.43,0.47
ALLSKY_KT,2010,0.44,0.47,0.46,0.48,0.48,0.5,0.47,0.47,0.46,0.5,0.46,0.46,0.47
ALLSKY_KT,2011,0.39,0.49,0.47,0.48,0.51,0.49,0.54,0.46,0.42,0.45,0.45,0.39,0.46
ALLSKY_KT,2012,0.5,0.43,0.47,0.51,0.51,0.53,0.52,0.42,0.47,0.44,0.46,0.42,0.47
ALLSKY_KT,2013,0.47,0.43,0.49,0.51,0.53,0.53,0.51,0.51,0.48,0.49,0.48,0.42,0.49
ALLSKY_KT,2014,0.4,0.43,0.41,0.5,0.5,0.55,0.53,0.49,0.43,0.46,0.47,0.45,0.47
ALLSKY_KT,2015,0.47,0.45,0.47,0.5,0.49,0.55,0.52,0.46,0.33,0.28,0.45,0.46,0.45
ALLSKY_KT,2016,0.44,0.43,0.48,0.49,0.51,0.53,0.53,0.54,0.53,0.49,0.47,0.49,0.49
ALLSKY_KT,2017,0.47,0.43,0.46,0.49,0.49,0.53,0.53,0.47,0.48,0.51,0.47,0.46,0.48
ALLSKY_KT,2018,0.46,0.44,0.45,0.46,0.47,0.5,0.49,0.52,0.47,0.45,0.48,0.48,0.47
ALLSKY_KT,2019,0.46,0.48,0.51,0.52,0.52,0.47,0.54,0.5,0.41,0.45,0.46,0.42,0.48
ALLSKY_KT,2020,0.45,0.47,0.48,0.49,0.49,0.49,0.48,0.53,0.47,0.5,0.45,0.46,0.48
ALLSKY_KT,2021,0.4,0.48,0.47,0.5,0.48,0.54,0.53,0.48,0.5,0.51,0.5,0.44,0.49
ALLSKY_KT,2022,0.48,0.45,0.53,0.49,0.53,0.51,0.51,0.47,0.47,0.49,0.47,0.43,0.48
ALLSKY_KT,2023,0.42,0.45,0.43,0.49,0.51,0.53,0.51,0.46,0.49,0.45,0.45,0.39,0.46
ALLSKY_KT,2024,0.42,0.43,0.46,0.49,0.45,0.49,0.52,0.44,0.47,0.5,0.43,0.48,0.46
ALLSKY_KT,2025,0.37,0.41,0.42,0.47,0.51,0.54,0.52,0.51,0.46,0.5,0.5,0.42,0.47
ALLSKY_SFC_SW_DIFF,2005,2.8087,2.8781,3.0053,2.6767,2.4679,2.5248,2.5058,2.6434,2.6465,2.9501,2.9882,2.8634,2.7458
ALLSKY_SFC_SW_DIFF,2006,2.7149,2.7199,2.9755,2.8351,2.5541,2.371,2.4463,2.557,2.5738,2.4382,2.5601,2.407,2.5951
ALLSKY_SFC_SW_DIFF,2007,2.5992,2.4756,2.8846,2.6549,2.4996,2.3957,2.6162,2.5118,2.6726,3.036,3.0324,2.7727,2.6808
ALLSKY_SFC_SW_DIFF,2008,2.6676,2.9671,2.6436,2.8678,2.6237,2.5284,2.419,2.557,2.7442,2.8265,2.9088,2.856,2.7156
ALLSKY_SFC_SW_DIFF,2009,2.7214,2.9218,2.7941,2.7103,2.7062,2.4545,2.5778,2.7305,2.707,2.927,2.7984,2.6935,2.7276
ALLSKY_SFC_SW_DIFF,2010,2.6803,2.5949,2.7216,2.712,2.6902,2.6035,2.4118,2.5056,2.6962,3.084,3.0235,2.9484,2.7233
ALLSKY_SFC_SW_DIFF,2011,2.6338,2.9734,3.0413,2.6813,2.569,2.4972,2.5193,2.5183,2.6126,2.8279,2.9028,2.5075,2.6882
ALLSKY_SFC_SW_DIFF,2012,3.0338,2.7557,3.0826,2.6251,2.6496,2.5841,2.5445,2.4214,2.7535,2.8745,3.0665,2.7346,2.7605
ALLSKY_SFC_SW_DIFF,2013,2.8594,2.7576,2.8327,2.8963,2.7384,2.6249,2.5884,2.6887,2.934,2.9878,2.9986,2.7766,2.8068
ALLSKY_SFC_SW_DIFF,2014,2.7372,2.8046,2.61,2.861,2.767,2.5702,2.7974,2.6234,2.6686,2.8668,3.0242,2.9244,2.7708
ALLSKY_SFC_SW_DIFF,2015,2.6626,2.7305,2.8183,2.9558,2.586,2.5327,2.7197,2.6278,2.2248,1.9519,2.7614,2.7223,2.6066
ALLSKY_SFC_SW_DIFF,2016,2.4574,2.6273,2.682,2.6856,2.743,2.4122,2.6501,2.7432,2.8397,3.0406,2.9748,2.8591,2.7269
ALLSKY_SFC_SW_DIFF,2017,2.8195,2.767,2.6844,2.7876,2.621,2.4444,2.4302,2.4806,2.7278,2.8666,2.9914,2.7086,2.693
ALLSKY_SFC_SW_DIFF,2018,3.0156,2.6813,2.6849,2.7778,2.5457,2.5589,2.5183,2.5661,2.7012,2.6609,2.8423,2.8596,2.701
ALLSKY_SFC_SW_DIFF,2019,2.7463,2.6983,2.8502,2.737,2.5085,2.479,2.4989,2.6537,2.4854,2.6544,2.6398,2.5438,2.6244
ALLSKY_SFC_SW_DIFF,2020,2.5906,2.7497,2.7713,2.729,2.5726,2.4725,2.4682,2.5519,2.6587,2.939,2.8879,2.7622,2.6789
ALLSKY_SFC_SW_DIFF,2021,2.5562,2.8169,2.6782,2.6702,2.6465,2.3926,2.5049,2.6513,2.6575,2.6376,2.9568,2.693,2.6537
ALLSKY_SFC_SW_DIFF,2022,2.7151,2.7943,2.8423,2.5932,2.5423,2.5517,2.4514,2.4446,2.8094,2.9741,2.9549,2.705,2.6971
ALLSKY_SFC_SW_DIFF,2023,2.7607,2.7768,2.5978,2.6969,2.5505,2.2975,2.5128,2.3398,2.5706,2.5579,2.6206,2.3546,2.5512
ALLSKY_SFC_SW_DIFF,2024,2.4955,2.4926,2.6969,2.6506,2.4691,2.454,2.3918,2.3803,2.6059,2.755,2.7782,2.717,2.5738
ALLSKY_SFC_SW_DIFF,2025,2.43,2.6662,2.6078,2.5476,2.5025,2.4828,2.4271,2.4715,2.5711,2.7401,3.0994,2.585,2.5927
ALLSKY_SFC_SW_DNI,2005,1.1148,0.8494,0.8724,2.147,1.9685,2.3741,2.0138,2.0537,2.3885,1.5804,1.3409,1.5696,1.6922
ALLSKY_SFC_SW_DNI,2006,1.2007,2.0508,1.7978,1.5926,1.7772,2.1761,2.3875,2.1319,1.2127,1.0171,1.4448,0.9701,1.6438
ALLSKY_SFC_SW_DNI,2007,1.2898,2.0239,1.866,2.3016,2.5675,2.8865,1.7707,1.8206,2.0071,1.4964,1.2799,1.0296,1.8576
ALLSKY_SFC_SW_DNI,2008,1.5576,0.7754,1.3315,1.8276,2.4883,1.9918,2.2505,1.9915,1.8391,1.5396,1.8708,1.0265,1.7107
ALLSKY_SFC_SW_DNI,2009,1.1988,0.9547,2.0935,2.2042,2.6376,2.5193,2.1886,1.9308,2.0042,1.3658,1.9404,1.2031,1.8574
ALLSKY_SFC_SW_DNI,2010,1.5403,2.297,1.7909,2.0066,1.9219,2.1744,2.1024,2.2476,1.9397,1.991,1.2931,1.2686,1.878
