-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  -0.026   Longitude 109.342 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 23.15 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.52,0.5,0.54,0.51,0.5,0.52,0.54,0.56,0.5,0.48,0.47,0.44,0.51
ALLSKY_KT,2006,0.49,0.53,0.53,0.49,0.51,0.53,0.6,0.55,0.46,0.37,0.4,0.46,0.49
ALLSKY_KT,2007,0.46,0.53,0.51,0.53,0.53,0.52,0.51,0.53,0.52,0.5,0.45,0.45,0.5
ALLSKY_KT,2008,0.51,0.46,0.46,0.51,0.54,0.55,0.53,0.53,0.5,0.48,0.48,0.42,0.5
ALLSKY_KT,2009,0.44,0.5,0.52,0.51,0.54,0.55,0.57,0.54,0.5,0.49,0.46,0.46,0.51
ALLSKY_KT,2010,0.51,0.5,0.53,0.54,0.52,0.53,0.51,0.53,0.5,0.48,0.45,0.44,0.5
ALLSKY_KT,2011,0.47,0.52,0.48,0.52,0.55,0.54,0.59,0.53,0.53,0.45,0.47,0.44,0.51
ALLSKY_KT,2012,0.47,0.48,0.51,0.53,0.58,0.59,0.53,0.53,0.54,0.45,0.47,0.47,0.51
ALLSKY_KT,2013,0.53,0.5,0.56,0.51,0.54,0.57,0.55,0.54,0.52,0.5,0.47,0.43,0.52
ALLSKY_KT,2014,0.52,0.52,0.49,0.5,0.52,0.53,0.6,0.5,0.5,0.42,0.43,0.45,0.5
ALLSKY_KT,2015,0.43,0.51,0.49,0.52,0.51,0.54,0.57,0.55,0.38,0.31,0.47,0.52,0.48
ALLSKY_KT,2016,0.48,0.49,0.54,0.54,0.53,0.54,0.58,0.57,0.57,0.5,0.47,0.45,0.52
ALLSKY_KT,2017,0.51,0.49,0.52,0.53,0.54,0.58,0.56,0.51,0.52,0.49,0.48,0.49,0.52
ALLSKY_KT,2018,0.45,0.53,0.51,0.54,0.51,0.56,0.57,0.58,0.55,0.48,0.48,0.46,0.52
ALLSKY_KT,2019,0.51,0.52,0.55,0.54,0.58,0.54,0.59,0.55,0.46,0.47,0.51,0.5,0.53
ALLSKY_KT,2020,0.49,0.51,0.51,0.52,0.53,0.56,0.52,0.54,0.5,0.5,0.45,0.51,0.51
ALLSKY_KT,2021,0.47,0.56,0.51,0.57,0.53,0.54,0.55,0.48,0.54,0.53,0.5,0.49,0.52
ALLSKY_KT,2022,0.5,0.51,0.54,0.51,0.53,0.52,0.52,0.5,0.5,0.47,0.47,0.49,0.5
ALLSKY_KT,2023,0.48,0.51,0.48,0.51,0.56,0.56,0.57,0.56,0.55,0.52,0.49,0.47,0.52
ALLSKY_KT,2024,0.45,0.5,0.5,0.53,0.52,0.53,0.57,0.48,0.55,0.53,0.49,0.45,0.51
ALLSKY_KT,2025,0.45,0.5,0.47,0.48,0.55,0.55,0.59,0.5,0.52,0.49,0.47,0.49,0.5
ALLSKY_SFC_SW_DIFF,2005,2.6791,2.8397,2.7298,2.5181,2.3522,2.2786,2.1958,2.3882,2.4245,2.6165,2.537,2.6666,2.5171
ALLSKY_SFC_SW_DIFF,2006,3.0434,2.6969,2.67,2.4818,2.2308,2.0971,2.1754,2.4833,2.5272,2.2886,2.3333,2.4816,2.4583
ALLSKY_SFC_SW_DIFF,2007,2.5481,2.5238,2.6266,2.4314,2.2666,2.2068,2.2039,2.353,2.5848,2.6609,2.5234,2.6671,2.4662
ALLSKY_SFC_SW_DIFF,2008,2.622,3.1006,2.6009,2.484,2.2433,2.1151,2.3546,2.4545,2.4878,2.5229,2.604,2.483,2.5037
ALLSKY_SFC_SW_DIFF,2009,2.7319,2.9184,2.4607,2.4602,2.3359,2.1528,2.2932,2.3981,2.6587,2.5234,2.52,2.4804,2.4914
ALLSKY_SFC_SW_DIFF,2010,2.6585,2.4569,2.5922,2.3923,2.2205,2.1612,2.2776,2.3705,2.6086,2.521,2.4569,2.6923,2.4511
ALLSKY_SFC_SW_DIFF,2011,2.8531,2.8711,2.897,2.5517,2.335,2.1082,2.1154,2.4305,2.6014,2.5466,2.5313,2.6328,2.5378
ALLSKY_SFC_SW_DIFF,2012,2.6791,2.5534,2.8534,2.4895,2.2169,2.1305,2.238,2.4031,2.6362,2.5298,2.5469,2.5546,2.4859
ALLSKY_SFC_SW_DIFF,2013,2.808,2.7067,2.616,2.3923,2.2627,2.1242,2.2454,2.4142,2.4859,2.6314,2.6174,2.5546,2.4874
ALLSKY_SFC_SW_DIFF,2014,2.8478,2.9369,2.6114,2.3242,2.2841,2.1151,2.2385,2.4151,2.6825,2.4595,2.5594,2.5682,2.5008
ALLSKY_SFC_SW_DIFF,2015,2.4643,2.6189,2.6683,2.5584,2.2639,2.1725,2.2104,2.4802,2.1991,1.9956,2.5094,2.4806,2.3834
ALLSKY_SFC_SW_DIFF,2016,2.4852,2.7706,2.5982,2.3374,2.1641,2.3261,2.0748,2.3414,2.4322,2.4869,2.5949,2.4648,2.4211
ALLSKY_SFC_SW_DIFF,2017,2.7019,2.9196,2.6534,2.4209,2.1038,2.0674,2.075,2.3597,2.5805,2.5565,2.6604,2.4319,2.4574
ALLSKY_SFC_SW_DIFF,2018,2.8558,2.5646,2.5454,2.513,2.1905,2.2486,2.1043,2.3878,2.5217,2.485,2.6393,2.5207,2.4638
ALLSKY_SFC_SW_DIFF,2019,2.6688,2.6136,2.525,2.3582,2.1674,2.1526,2.0482,2.4072,2.509,2.6186,2.5939,2.6006,2.4374
ALLSKY_SFC_SW_DIFF,2020,2.5087,2.7785,2.5954,2.3693,2.2368,2.0556,2.107,2.3741,2.5601,2.6191,2.5344,2.6472,2.4478
ALLSKY_SFC_SW_DIFF,2021,2.8728,2.7425,2.5514,2.4142,2.2733,2.1022,2.0834,2.3009,2.4835,2.5798,2.5968,2.5507,2.461
ALLSKY_SFC_SW_DIFF,2022,2.8637,2.7994,2.3938,2.3266,2.1845,2.1154,2.1461,2.2579,2.7722,2.6345,2.5435,2.6338,2.4703
ALLSKY_SFC_SW_DIFF,2023,2.8944,2.6959,2.5296,2.3141,2.1432,2.0359,2.1706,2.0705,2.3182,2.5001,2.4134,2.3678,2.3695
ALLSKY_SFC_SW_DIFF,2024,2.467,2.5118,2.5699,2.3947,2.2934,2.1912,2.1919,2.3105,2.471,2.4816,2.5421,2.55,2.4142
ALLSKY_SFC_SW_DIFF,2025,2.7122,2.773,2.6378,2.3105,2.2236,2.183,1.9994,2.3364,2.4998,2.4792,2.5598,2.5486,2.4365
ALLSKY_SFC_SW_DNI,2005,2.9419,2.3491,3.0319,2.8519,2.8944,3.1169,3.5851,3.6581,2.7876,2.3261,2.2027,1.4093,2.7665
ALLSKY_SFC_SW_DNI,2006,1.8362,2.963,3.0785,2.6522,3.0946,3.5563,4.5067,3.3442,1.9946,1.1107,1.6286,2.389,2.6796
ALLSKY_SFC_SW_DNI,2007,2.0664,3.2798,2.7322,3.2734,3.3612,3.0526,3.0886,3.3022,2.7871,2.5769,1.8854,1.7167,2.7562
ALLSKY_SFC_SW_DNI,2008,2.7439,1.1621,1.9577,2.8987,3.5626,3.685,2.928,3.1133,2.718,2.5289,2.2675,1.727,2.6124
ALLSKY_SFC_SW_DNI,2009,1.4242,2.2061,3.1858,2.8039,3.3991,3.7332,3.5928,3.4457,2.4689,2.6328,2.1648,2.1394,2.7708
ALLSKY_SFC_SW_DNI,2010,2.6676,2.9318,3.1934,3.6038,3.3158,3.4073,3.0026,3.2544,2.4614,2.4842,2.0714,1.5312,2.8255
ALLSKY_SFC_SW_DNI,2011,1.8343,2.736,1.9922,2.9791,3.4872,3.6862,4.2905,3.0602,2.9369,1.9394,2.382,1.6632,2.7463
ALLSKY_SFC_SW_DNI,2012,2.4091,2.4197,2.393,3.1598,4.1676,4.5221,3.2868,3.0878,3.1253,1.921,2.2567,2.2901,2.9189
ALLSKY_SFC_SW_DNI,2013,2.927,2.3741,3.5198,3.0274,3.4459,4.1357,3.57,3.2182,3.0305,2.5884,2.1454,1.5478,2.9642
ALLSKY_SFC_SW_DNI,2014,2.706,2.4209,2.5157,3.0874,3.1099,3.4687,4.3318,2.7175,2.43,1.499,1.6135,1.9294,2.6544
ALLSKY_SFC_SW_DNI,2015,1.8797,2.8666,2.5805,3.0048,3.1356,3.5165,4.0769,3.3437,1.249,0.6439,2.1643,3.2028,2.6386
ALLSKY_SFC_SW_DNI,2016,2.5846,2.1974,3.2438,3.5556,3.7015,3.2326,4.2365,3.8825,3.9185,2.8656,2.279,2.1233,3.156
ALLSKY_SFC_SW_DNI,2017,2.7274,2.155,2.8421,3.3545,3.7781,4.2838,3.894,2.9597,2.8459,2.5195,2.3232,2.8565,3.0506
ALLSKY_SFC_SW_DNI,2018,1.6344,3.173,2.8927,3.1922,3.2551,3.875,4.1551,3.8976,3.401,2.4958,2.244,2.2387,3.0353
ALLSKY_SFC_SW_DNI,2019,2.7408,2.7809,3.6583,3.6115,4.3102,3.5974,4.4066,3.493,1.9092,2.0642,2.778,2.4499,3.155
ALLSKY_SFC_SW_DNI,2020,2.6693,2.621,2.7895,3.2153,3.4106,4.0092,3.2568,3.4574,2.5133,2.7526,2.0554,2.8325,2.9674
ALLSKY_SFC_SW_DNI,2021,1.6788,3.5489,2.9268,3.8237,3.4759,3.7447,3.8376,2.5478,3.2484,3.1999,2.8128,2.4917,3.1046
ALLSKY_SFC_SW_DNI,2022,2.1811,2.6508,3.6907,3.1951,3.57,3.4114,3.2525,2.9282,2.2692,2.0318,2.2099,2.4814,2.8246
ALLSKY_SFC_SW_DNI,2023,2.0131,2.801,2.5654,3.2988,4.1414,3.9881,3.8702,4.1878,3.5974,3.0012,2.7521,2.5567,3.2328
ALLSKY_SFC_SW_DNI,2024,2.1497,2.7802,2.7703,3.2311,3.0809,3.3175,3.9108,2.6064,3.5726,3.2419,2.4739,1.9642,2.9232
ALLSKY_SFC_SW_DNI,2025,1.5454,2.4065,2.1883,2.8015,3.7039,3.6259,4.4712,2.8334,2.9765,2.7816,2.4667,2.5464,2.8649
ALLSKY_SFC_SW_DWN,2005,5.2246,5.2382,5.621,5.1214,4.8206,4.7875,5.0662,5.5361,5.1389,4.992,4.7342,4.3294,5.0506
ALLSKY_SFC_SW_DWN,2006,4.9534,5.4912,5.5788,5.0004,4.8547,4.8617,5.615,5.3938,4.6925,3.816,4.0848,4.5902,4.909
ALLSKY_SFC_SW_DWN,2007,4.6003,5.4979,5.2966,5.3834,5.0969,4.7527,4.7755,5.231,5.2862,5.1701,4.507,4.4736,5.0021
ALLSKY_SFC_SW_DWN,2008,5.1065,4.7414,4.8002,5.1924,5.196,5.0498,4.9087,5.2102,5.1643,5.0059,4.813,4.1664,4.9462
ALLSKY_SFC_SW_DWN,2009,4.411,5.1698,5.4113,5.1286,5.1638,5.1007,5.2798,5.3318,5.1482,5.117,4.6591,4.5348,5.0371
