-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  -0.502   Longitude 117.153 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 52.04 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.44,0.53,0.54,0.45,0.47,0.48,0.47,0.53,0.54,0.47,0.42,0.43,0.48
ALLSKY_KT,2006,0.44,0.49,0.47,0.47,0.48,0.46,0.56,0.52,0.49,0.45,0.49,0.49,0.48
ALLSKY_KT,2007,0.42,0.48,0.5,0.52,0.51,0.44,0.45,0.47,0.51,0.5,0.42,0.45,0.47
ALLSKY_KT,2008,0.43,0.43,0.41,0.45,0.47,0.47,0.41,0.44,0.45,0.43,0.44,0.4,0.44
ALLSKY_KT,2009,0.42,0.41,0.44,0.47,0.49,0.47,0.52,0.5,0.56,0.46,0.43,0.48,0.47
ALLSKY_KT,2010,0.45,0.57,0.53,0.5,0.49,0.47,0.45,0.45,0.47,0.45,0.45,0.44,0.48
ALLSKY_KT,2011,0.43,0.42,0.42,0.43,0.5,0.47,0.52,0.54,0.47,0.45,0.47,0.41,0.46
ALLSKY_KT,2012,0.44,0.46,0.44,0.48,0.5,0.49,0.46,0.47,0.52,0.49,0.47,0.46,0.47
ALLSKY_KT,2013,0.46,0.44,0.48,0.45,0.45,0.5,0.45,0.48,0.46,0.46,0.48,0.42,0.46
ALLSKY_KT,2014,0.42,0.51,0.51,0.5,0.5,0.45,0.51,0.47,0.53,0.53,0.47,0.47,0.49
ALLSKY_KT,2015,0.41,0.45,0.51,0.53,0.51,0.45,0.55,0.57,0.52,0.49,0.5,0.51,0.5
ALLSKY_KT,2016,0.53,0.58,0.54,0.54,0.5,0.45,0.49,0.52,0.46,0.41,0.44,0.44,0.49
ALLSKY_KT,2017,0.43,0.46,0.46,0.47,0.48,0.45,0.49,0.43,0.42,0.49,0.46,0.45,0.46
ALLSKY_KT,2018,0.44,0.44,0.45,0.48,0.46,0.47,0.49,0.51,0.55,0.46,0.44,0.48,0.47
ALLSKY_KT,2019,0.45,0.57,0.52,0.48,0.51,0.47,0.51,0.55,0.58,0.51,0.51,0.46,0.51
ALLSKY_KT,2020,0.51,0.56,0.55,0.53,0.48,0.44,0.43,0.5,0.44,0.45,0.44,0.44,0.48
ALLSKY_KT,2021,0.43,0.43,0.46,0.47,0.46,0.49,0.45,0.45,0.44,0.47,0.41,0.4,0.45
ALLSKY_KT,2022,0.43,0.43,0.46,0.47,0.47,0.5,0.43,0.46,0.46,0.44,0.43,0.44,0.45
ALLSKY_KT,2023,0.39,0.41,0.43,0.45,0.48,0.47,0.49,0.56,0.53,0.54,0.47,0.51,0.48
ALLSKY_KT,2024,0.5,0.55,0.54,0.56,0.46,0.42,0.44,0.4,0.53,0.47,0.46,0.4,0.48
ALLSKY_KT,2025,0.41,0.42,0.43,0.45,0.47,0.44,0.5,0.42,0.46,0.43,0.44,0.42,0.44
ALLSKY_SFC_SW_DIFF,2005,2.4226,2.5284,2.3623,2.4401,2.3602,2.0446,2.0618,2.2891,2.2932,2.3203,2.2954,2.622,2.3359
ALLSKY_SFC_SW_DIFF,2006,2.6494,2.4646,2.6321,2.4108,2.2039,1.9375,1.968,2.118,2.2541,2.5406,2.2678,2.2596,2.3086
ALLSKY_SFC_SW_DIFF,2007,2.2954,2.5121,2.3918,2.2246,1.9094,2.1242,2.1439,2.3083,2.4566,2.4982,2.5054,2.5543,2.3256
ALLSKY_SFC_SW_DIFF,2008,2.5682,2.791,2.4785,2.2454,2.1845,2.0069,1.956,2.0906,2.2502,2.233,2.1962,2.5522,2.2946
ALLSKY_SFC_SW_DIFF,2009,2.6011,2.3705,2.4158,2.4082,2.2351,2.1242,2.0899,2.3081,2.2858,2.4331,2.5378,2.2678,2.3395
ALLSKY_SFC_SW_DIFF,2010,2.4974,2.1658,2.1605,2.1878,2.1444,2.0587,2.2066,2.0498,2.2903,2.4096,2.3954,2.5697,2.2625
ALLSKY_SFC_SW_DIFF,2011,2.4797,2.437,2.634,2.2942,2.3443,2.0566,2.0969,2.1905,2.3926,2.3986,2.3282,2.4991,2.346
ALLSKY_SFC_SW_DIFF,2012,2.5846,2.4974,2.7329,2.3983,2.0136,2.075,2.1298,2.2162,2.5478,2.4473,2.1811,2.4074,2.3525
ALLSKY_SFC_SW_DIFF,2013,2.4566,2.4055,2.424,2.2282,2.1499,2.069,2.2891,2.1965,2.4305,2.4636,2.5598,2.5078,2.3482
ALLSKY_SFC_SW_DIFF,2014,2.6424,2.6501,2.4478,2.4194,2.2524,2.124,2.1874,2.1746,2.4761,2.5622,2.3885,2.5126,2.4017
ALLSKY_SFC_SW_DIFF,2015,2.4919,2.4746,2.4454,2.2829,2.0623,2.0904,2.1598,2.3546,2.437,2.5898,2.4115,2.5843,2.3652
ALLSKY_SFC_SW_DIFF,2016,2.2037,2.5128,2.4218,2.2212,2.3162,2.1086,2.1446,2.4554,2.3282,2.6069,2.3974,2.5906,2.3592
