-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2005 through 12/31/2025 in UTC
Location: Latitude  -7.2575   Longitude 112.7521 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 239.03 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT              CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLOUD_AMT              CERES SYN1deg Cloud Amount (%) 
IMERG_PRECTOT          MERRA-2 Total Precipitation (mm/day) 
PS                     MERRA-2 Surface Pressure (kPa) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
TS                     MERRA-2 Earth Skin Temperature (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WSC                    MERRA-2 Corrected Wind Speed (Adjusted For Elevation) (m/s) 
Message(s): 
Corrected Wind Speed has a custom surface implemented: Savanna:18-m broadleaf trees (30%) & groundcover (vegtype_6) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_KT,2005,0.52,0.51,0.5,0.52,0.6,0.55,0.59,0.6,0.61,0.54,0.54,0.39,0.54
ALLSKY_KT,2006,0.41,0.49,0.43,0.52,0.53,0.58,0.62,0.63,0.66,0.62,0.58,0.48,0.54
ALLSKY_KT,2007,0.53,0.46,0.43,0.48,0.56,0.57,0.59,0.6,0.63,0.58,0.54,0.43,0.53
ALLSKY_KT,2008,0.49,0.4,0.45,0.52,0.6,0.6,0.64,0.59,0.63,0.55,0.46,0.45,0.53
ALLSKY_KT,2009,0.46,0.42,0.54,0.52,0.52,0.61,0.63,0.62,0.63,0.59,0.54,0.52,0.55
ALLSKY_KT,2010,0.44,0.49,0.48,0.48,0.48,0.52,0.54,0.57,0.5,0.48,0.47,0.41,0.48
ALLSKY_KT,2011,0.41,0.43,0.46,0.47,0.51,0.61,0.6,0.62,0.62,0.57,0.46,0.45,0.51
ALLSKY_KT,2012,0.41,0.47,0.45,0.54,0.56,0.59,0.6,0.64,0.65,0.6,0.49,0.45,0.53
ALLSKY_KT,2013,0.43,0.45,0.5,0.48,0.48,0.49,0.54,0.63,0.64,0.6,0.48,0.42,0.51
ALLSKY_KT,2014,0.41,0.44,0.52,0.51,0.56,0.56,0.53,0.61,0.65,0.61,0.53,0.42,0.53
ALLSKY_KT,2015,0.47,0.48,0.5,0.49,0.59,0.6,0.61,0.63,0.65,0.61,0.56,0.47,0.55
ALLSKY_KT,2016,0.47,0.44,0.51,0.51,0.54,0.53,0.54,0.56,0.56,0.47,0.46,0.43,0.5
ALLSKY_KT,2017,0.44,0.46,0.49,0.51,0.56,0.54,0.58,0.62,0.62,0.57,0.43,0.46,0.52
ALLSKY_KT,2018,0.42,0.46,0.48,0.57,0.6,0.59,0.63,0.63,0.63,0.62,0.5,0.46,0.54
ALLSKY_KT,2019,0.45,0.48,0.47,0.51,0.6,0.61,0.63,0.63,0.64,0.64,0.6,0.52,0.56
ALLSKY_KT,2020,0.48,0.48,0.49,0.51,0.54,0.58,0.6,0.62,0.61,0.52,0.51,0.42,0.53
ALLSKY_KT,2021,0.4,0.42,0.48,0.54,0.57,0.53,0.61,0.6,0.57,0.56,0.42,0.46,0.51
ALLSKY_KT,2022,0.45,0.43,0.47,0.51,0.51,0.52,0.59,0.56,0.55,0.47,0.41,0.43,0.49
ALLSKY_KT,2023,0.46,0.41,0.48,0.49,0.57,0.56,0.6,0.63,0.65,0.63,0.52,0.5,0.54
ALLSKY_KT,2024,0.45,0.46,0.45,0.48,0.58,0.56,0.61,0.63,0.57,0.56,0.47,0.41,0.52
ALLSKY_KT,2025,0.42,0.45,0.46,0.5,0.47,0.52,0.56,0.57,0.55,0.52,0.44,0.48,0.49
ALLSKY_SFC_SW_DIFF,2005,2.7089,2.5466,2.6023,2.2409,1.9548,1.775,1.6373,1.8686,2.1204,2.5882,2.6318,2.729,2.2824
ALLSKY_SFC_SW_DIFF,2006,2.7751,2.5392,2.527,2.383,1.8434,1.6822,1.6764,1.7566,1.8554,2.0503,2.4214,2.599,2.1737
ALLSKY_SFC_SW_DIFF,2007,2.6489,2.4674,2.4989,2.1482,1.7726,1.6392,1.7878,1.7918,2.0239,2.4202,2.778,2.7384,2.2253
ALLSKY_SFC_SW_DIFF,2008,2.6158,2.8819,2.5716,2.274,1.7604,1.5962,1.5917,1.8749,1.998,2.3897,2.9681,2.85,2.2786
ALLSKY_SFC_SW_DIFF,2009,2.6609,2.6822,2.377,2.2354,2.0407,1.5185,1.6121,1.7839,1.9757,2.4247,2.6688,2.8282,2.2318
ALLSKY_SFC_SW_DIFF,2010,2.5759,2.4161,2.3868,2.394,2.177,1.8221,1.9248,1.872,2.1658,2.579,2.6909,2.8822,2.3237
ALLSKY_SFC_SW_DIFF,2011,2.7511,2.7439,2.6606,2.4058,1.9327,1.6457,1.5871,1.8694,1.9666,2.3558,2.4605,2.8385,2.2658
ALLSKY_SFC_SW_DIFF,2012,2.8762,2.5435,2.4967,2.105,1.8569,1.7004,1.6541,1.741,2.0753,2.3246,2.6335,2.6431,2.22
ALLSKY_SFC_SW_DIFF,2013,2.7271,2.6222,2.394,2.3191,2.0162,2.0052,1.951,1.7285,2.0803,2.4355,2.6803,2.5754,2.2922
