,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,0.037,-0.017,0.0,-0.012,-0.005,-0.001,0.009,0.461,0.29,0.069,0.005
cos_month,-0.0,1.0,0.098,0.098,0.009,0.006,-0.018,-0.001,0.01,0.638,-0.027,-0.282,0.03
GHI_lag1,0.037,0.098,1.0,0.081,0.301,-0.287,-0.248,0.328,0.373,0.079,-0.136,0.13,0.268
GHI_lag12,-0.017,0.098,0.081,1.0,-0.069,0.096,0.048,-0.181,-0.13,0.175,-0.067,-0.095,0.119
GHI_anom,0.0,0.009,0.301,-0.069,1.0,-0.705,-0.628,0.426,0.452,0.01,-0.216,0.117,0.453
CLOUD_anom,-0.012,0.006,-0.287,0.096,-0.705,1.0,0.593,-0.489,-0.468,0.406,0.263,-0.002,-0.353
PRECTOT_anom,-0.005,-0.018,-0.248,0.048,-0.628,0.593,1.0,-0.376,-0.335,0.105,0.187,0.118,-0.223
ONI,-0.001,-0.001,0.328,-0.181,0.426,-0.489,-0.376,1.0,0.939,-0.156,-0.371,0.257,0.183
ONI_lag2,0.009,0.01,0.373,-0.13,0.452,-0.468,-0.335,0.939,1.0,-0.108,-0.323,0.337,0.187
GHI_x_CLOUD,0.461,0.638,0.079,0.175,0.01,0.406,0.105,-0.156,-0.108,1.0,0.218,-0.092,0.038
ONI_x_CLOUD_anom,0.29,-0.027,-0.136,-0.067,-0.216,0.263,0.187,-0.371,-0.323,0.218,1.0,0.034,-0.116
T2M_x_RH,0.069,-0.282,0.13,-0.095,0.117,-0.002,0.118,0.257,0.337,-0.092,0.034,1.0,0.097
Y_stoch,0.005,0.03,0.268,0.119,0.453,-0.353,-0.223,0.183,0.187,0.038,-0.116,0.097,1.0
