Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,-0.521614,0.359461,-1.451102,0.146751,-1.226144,0.182916
sin_month,-0.036276,0.016583,-2.187565,0.028701,-0.068778,-0.003774
cos_month,-0.046191,0.021194,-2.179415,0.029301,-0.087731,-0.004651
GHI_lag1,0.018366,0.013497,1.360736,0.173597,-0.008088,0.04482
GHI_lag12,0.015646,0.013674,1.144219,0.252533,-0.011155,0.042447
GHI_anom,0.004545,0.050449,0.090084,0.928221,-0.094333,0.103422
CLOUD_anom,-0.007361,0.002755,-2.671755,0.007546,-0.01276,-0.001961
PRECTOT_anom,0.002601,0.001769,1.470436,0.141444,-0.000866,0.006067
ONI,0.021947,0.019135,1.146906,0.25142,-0.015558,0.059451
ONI_lag2,-0.031545,0.018994,-1.660737,0.096766,-0.068773,0.005684
GHI_x_CLOUD,0.124093,0.051282,2.419815,0.015528,0.023582,0.224604
ONI_x_CLOUD_anom,-0.000117,0.001034,-0.112872,0.910132,-0.002143,0.00191
T2M_x_RH,0.000179,0.000127,1.408185,0.159076,-7e-05,0.000428
