p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-250.8,-242.75,0.0408,False,True
0,0,0,1,-249.7,-238.97,0.1273,True,True
0,0,1,0,-249.8,-239.07,0.1404,True,True
0,0,1,1,-250.67,-237.26,0.1793,True,True
0,1,0,0,-255.15,-244.42,0.1828,True,True
0,1,0,1,-254.37,-240.96,0.4634,True,True
0,1,1,0,-254.47,-241.06,0.4842,True,True
0,1,1,1,-255.36,-239.26,0.4024,True,True
0,2,0,0,-255.06,-241.65,0.4114,True,True
0,2,0,1,-253.81,-237.71,0.6142,True,True
0,2,1,0,-253.87,-237.78,0.6289,True,True
0,2,1,1,-255.18,-236.41,0.6018,True,True
1,0,0,0,-253.07,-242.34,0.0958,True,True
1,0,0,1,-252.47,-239.05,0.3478,True,True
1,0,1,0,-252.58,-239.17,0.3728,True,True
1,0,1,1,-253.49,-237.4,0.3197,True,True
1,1,0,0,-254.39,-240.98,0.3248,True,True
1,1,0,1,-253.43,-237.34,0.6038,True,True
1,1,1,0,-253.52,-237.43,0.6208,True,True
1,1,1,1,-254.47,-235.7,0.6086,True,True
1,2,0,0,-253.35,-237.26,0.4341,True,True
1,2,0,1,-251.94,-233.17,0.5977,True,True
1,2,1,0,-252.03,-233.25,0.6196,True,True
1,2,1,1,-252.91,-231.45,0.6251,True,True
2,0,0,0,-255.09,-241.68,0.3462,True,True
2,0,0,1,-253.61,-237.52,0.5004,True,True
2,0,1,0,-253.67,-237.58,0.5178,True,True
2,0,1,1,-254.01,-235.23,0.5058,True,True
2,1,0,0,-253.09,-236.99,0.3376,True,True
2,1,0,1,-251.8,-233.03,0.5863,True,True
2,1,1,0,-248.76,-229.99,0.3319,True,True
2,1,1,1,-252.85,-231.39,0.6344,True,True
2,2,0,0,-251.42,-232.64,0.4301,True,True
2,2,0,1,-249.97,-228.51,0.5995,True,True
2,2,1,0,-241.81,-220.35,0.1441,True,True
2,2,1,1,-248.06,-223.92,0.6087,True,True
