Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_anom,0.013217,0.000319,0.016616,0.034772
CLOUD_anom,0.006468,-0.000511,0.007434,0.015379
GHI_lag1,0.003903,6e-06,0.004214,0.009204
GHI_lag12,0.003523,5.6e-05,0.004029,0.012493
T2M_x_RH,0.003494,-8.2e-05,0.003851,0.007307
cos_month,0.002985,0.000119,0.003966,0.010446
PRECTOT_anom,0.002875,-0.000309,0.003667,0.010322
sin_month,0.001606,-1e-05,0.0021,0.006325
ONI_lag2,0.000946,-7.4e-05,0.001209,0.003641
ONI_x_CLOUD_anom,0.000493,3.4e-05,0.00065,0.002002
GHI_x_CLOUD,0.000418,7e-05,0.000524,0.001318
ONI,0.000277,-4e-06,0.000351,0.001061
