,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_anom,0.01322,0.01358,0.01319,1,1,1
CLOUD_anom,0.00647,0.00318,0.00733,2,4,2
GHI_lag1,0.0039,0.00656,0.00441,3,3,3
GHI_lag12,0.00352,0.00688,0.00247,4,2,6
T2M_x_RH,0.00349,0.00246,0.00368,5,5,4
cos_month,0.00298,0.00139,0.00299,6,6,5
PRECTOT_anom,0.00287,0.00099,0.00208,7,9,7
sin_month,0.00161,0.00099,0.00161,8,10,8
ONI_lag2,0.00095,0.00095,0.00046,9,11,12
ONI_x_CLOUD_anom,0.00049,0.00125,0.0007,10,7,10
GHI_x_CLOUD,0.00042,0.00119,0.00073,11,8,9
ONI,0.00028,0.0007,0.00068,12,12,11
