,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,0.156,0.2,-0.003,-0.006,-0.002,-0.001,0.009,0.418,0.163,0.288,0.127
cos_month,-0.0,1.0,-0.074,0.02,-0.004,0.006,-0.018,-0.001,0.01,0.48,-0.126,-0.124,-0.023
GHI_lag1,0.156,-0.074,1.0,0.149,0.406,-0.341,-0.179,0.294,0.378,-0.004,-0.086,0.192,0.387
GHI_lag12,0.2,0.02,0.149,1.0,-0.09,0.089,0.07,-0.153,-0.128,0.213,-0.083,-0.102,0.126
GHI_anom,-0.003,-0.004,0.406,-0.09,1.0,-0.77,-0.557,0.424,0.501,-0.163,-0.214,0.005,0.438
CLOUD_anom,-0.006,0.006,-0.341,0.089,-0.77,1.0,0.491,-0.497,-0.524,0.589,0.277,0.117,-0.362
PRECTOT_anom,-0.002,-0.018,-0.179,0.07,-0.557,0.491,1.0,-0.439,-0.44,0.151,0.227,-0.004,-0.174
ONI,-0.001,-0.001,0.294,-0.153,0.424,-0.497,-0.439,1.0,0.939,-0.254,-0.343,0.056,0.16
ONI_lag2,0.009,0.01,0.378,-0.128,0.501,-0.524,-0.44,0.939,1.0,-0.224,-0.335,0.15,0.192
GHI_x_CLOUD,0.418,0.48,-0.004,0.213,-0.163,0.589,0.151,-0.254,-0.224,1.0,0.182,0.199,-0.002
ONI_x_CLOUD_anom,0.163,-0.126,-0.086,-0.083,-0.214,0.277,0.227,-0.343,-0.335,0.182,1.0,0.227,-0.066
T2M_x_RH,0.288,-0.124,0.192,-0.102,0.005,0.117,-0.004,0.056,0.15,0.199,0.227,1.0,0.05
Y_stoch,0.127,-0.023,0.387,0.126,0.438,-0.362,-0.174,0.16,0.192,-0.002,-0.066,0.05,1.0
