Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,-0.872484,0.433495,-2.012677,0.044149,-1.722118,-0.022851
sin_month,-0.047343,0.020428,-2.317539,0.020474,-0.087381,-0.007305
cos_month,-0.066721,0.023049,-2.894754,0.003795,-0.111896,-0.021546
GHI_lag1,0.030658,0.014821,2.0686,0.038584,0.00161,0.059706
GHI_lag12,0.000158,0.012723,0.012449,0.990067,-0.024778,0.025095
GHI_anom,-0.120225,0.074221,-1.619824,0.10527,-0.265696,0.025246
CLOUD_anom,-0.014477,0.004304,-3.363657,0.000769,-0.022913,-0.006041
PRECTOT_anom,0.00176,0.001913,0.920405,0.357361,-0.001988,0.005509
ONI,0.008591,0.02,0.429576,0.667504,-0.030607,0.04779
ONI_lag2,-0.021165,0.021408,-0.98862,0.322849,-0.063124,0.020795
GHI_x_CLOUD,0.263569,0.085609,3.078766,0.002079,0.095779,0.431358
ONI_x_CLOUD_anom,-0.000267,0.00097,-0.27509,0.783247,-0.002168,0.001634
T2M_x_RH,0.000105,0.000147,0.71646,0.473707,-0.000183,0.000394
