Test,Results
Durbin_Watson,"{'stat': np.float64(1.9747), 'interpretation': 'No autocorr'}"
Breusch_Godfrey_lag1,"{'stat': np.float64(1.0141), 'p_value': np.float64(0.3139), 'interpretation': 'No serial correlation'}"
Breusch_Godfrey_lag12,"{'stat': np.float64(12.0467), 'p_value': np.float64(0.4419), 'interpretation': 'No seasonal autocorrelation'}"
Ljung_Box_lag1,"{'stat': np.float64(0.0277), 'p_value': np.float64(0.8677), 'interpretation': 'White noise'}"
Ljung_Box_lag6,"{'stat': np.float64(17.9297), 'p_value': np.float64(0.0064), 'interpretation': 'Residual autocorrelation present'}"
Ljung_Box_lag12,"{'stat': np.float64(27.4757), 'p_value': np.float64(0.0066), 'interpretation': 'Residual autocorrelation present'}"
White_Test,"{'stat': np.float64(35.6473), 'p_value': np.float64(0.7794), 'interpretation': 'Homoskedastic'}"
Breusch_Pagan,"{'stat': np.float64(6.6143), 'p_value': np.float64(0.5788), 'interpretation': 'Homoskedastic'}"
Jarque_Bera,"{'stat': np.float64(0.1071), 'p_value': np.float64(0.9479), 'skewness': np.float64(0.0096), 'kurtosis': np.float64(2.8983), 'interpretation': 'Normal residuals'}"
Shapiro_Wilk,"{'stat': np.float64(0.9793), 'p_value': np.float64(0.5213), 'interpretation': 'Normal (consistent with JB)'}"
