p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-238.02,-229.98,0.0161,False,True
0,0,0,1,-236.17,-225.45,0.0276,False,True
0,0,1,0,-236.18,-225.45,0.0283,False,True
0,0,1,1,-238.78,-225.37,0.0717,True,True
0,1,0,0,-242.18,-231.45,0.1281,True,True
0,1,0,1,-240.31,-226.9,0.1774,True,True
0,1,1,0,-240.31,-226.9,0.179,True,True
0,1,1,1,-241.82,-225.73,0.2615,True,True
0,2,0,0,-240.42,-227.01,0.1375,True,True
0,2,0,1,-238.48,-222.39,0.1667,True,True
0,2,1,0,-238.49,-222.39,0.168,True,True
0,2,1,1,-236.48,-217.71,0.1674,True,True
1,0,0,0,-241.2,-230.47,0.0946,True,True
1,0,0,1,-239.47,-226.06,0.1752,True,True
1,0,1,0,-239.48,-226.07,0.1796,True,True
1,0,1,1,-237.48,-221.38,0.1764,True,True
1,1,0,0,-240.37,-226.96,0.1355,True,True
1,1,0,1,-238.45,-222.35,0.171,True,True
1,1,1,0,-232.21,-216.11,0.028,False,True
1,1,1,1,-236.46,-217.69,0.1748,True,True
1,2,0,0,-238.58,-222.49,0.146,True,True
1,2,0,1,-236.61,-217.83,0.1642,True,True
1,2,1,0,-237.12,-218.34,0.172,True,True
1,2,1,1,-234.61,-213.15,0.1597,True,True
2,0,0,0,-240.59,-227.18,0.1445,True,True
2,0,0,1,-238.6,-222.51,0.1584,True,True
2,0,1,0,-238.6,-222.51,0.1596,True,True
2,0,1,1,-236.6,-217.83,0.1593,True,True
2,1,0,0,-238.65,-222.56,0.1477,True,True
2,1,0,1,-236.65,-217.88,0.1536,True,True
2,1,1,0,-236.66,-217.88,0.1542,True,True
2,1,1,1,-234.65,-213.2,0.154,True,True
2,2,0,0,-236.65,-217.88,0.1476,True,True
2,2,0,1,-234.66,-213.2,0.1581,True,True
2,2,1,0,-234.66,-213.2,0.1602,True,True
2,2,1,1,-232.66,-208.52,0.1593,True,True
