Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_anom,0.013203,-0.000189,0.015898,0.034739
GHI_lag1,0.007464,-0.000292,0.008867,0.024846
sin_month,0.006178,-0.000151,0.006899,0.013967
CLOUD_anom,0.004308,-0.000169,0.004809,0.014649
GHI_lag12,0.002979,3.2e-05,0.003474,0.008668
T2M_x_RH,0.00291,0.000441,0.003436,0.008465
PRECTOT_anom,0.001932,8.1e-05,0.002489,0.006486
ONI_lag2,0.001737,-4.3e-05,0.002336,0.007268
cos_month,0.001617,-0.000133,0.002066,0.007109
GHI_x_CLOUD,0.001405,8.8e-05,0.00163,0.004744
ONI,0.001308,0.000228,0.001554,0.003455
ONI_x_CLOUD_anom,0.001152,-2.7e-05,0.001445,0.003595
