,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_anom,0.0132,0.01453,0.01421,1,1,1
GHI_lag1,0.00746,0.00668,0.00793,2,2,2
sin_month,0.00618,0.00536,0.0062,3,4,3
CLOUD_anom,0.00431,0.00152,0.00378,4,9,4
GHI_lag12,0.00298,0.005,0.00226,5,5,6
T2M_x_RH,0.00291,0.00335,0.00312,6,6,5
PRECTOT_anom,0.00193,0.00557,0.00214,7,3,7
ONI_lag2,0.00174,0.00127,0.00144,8,10,9
cos_month,0.00162,0.0016,0.00207,9,8,8
GHI_x_CLOUD,0.00141,0.00107,0.00111,10,11,11
ONI,0.00131,0.00171,0.00115,11,7,10
ONI_x_CLOUD_anom,0.00115,0.00097,0.00093,12,12,12
