#,Location,Province,Regime,Lat,Lon,GHI mean±SD,Cloud %,T2M °C,PRECTOT mm/d,n
1,Medan,North Sumatra,Equatorial Wet,+3.595°,+98.672°,4.689±0.425,89.3,25.89,9.97,252
2,Pekanbaru,Riau,Equatorial Wet,+0.507°,+101.448°,4.703±0.353,86.0,26.09,8.77,252
3,Pontianak,West Kalimantan,Equatorial Maritime,-0.026°,+109.342°,5.072±0.373,80.6,26.31,9.88,252
4,Bontang,East Kalimantan,Equatorial Maritime,+0.133°,+117.500°,4.865±0.407,79.9,26.92,7.70,252
5,Samarinda,East Kalimantan,Equatorial Maritime,-0.502°,+117.153°,4.709±0.455,80.3,25.74,7.85,252
6,Balikpapan,East Kalimantan,Equatorial Maritime,-1.265°,+116.831°,4.701±0.389,81.7,27.53,9.33,252
7,Makassar,South Sulawesi,Monsoonal,-5.147°,+119.432°,5.322±0.757,69.3,27.49,8.48,252
8,Surabaya,East Java,Tropical Monsoon,-7.258°,+112.752°,5.185±0.593,67.7,26.57,6.48,252
9,Kupang,East Nusa Tenggara,Semi-Arid Tropical,-10.177°,+123.607°,5.868±0.767,55.1,27.03,4.13,252
10,Jayapura,Papua,Equatorial Rainforest,-2.534°,+140.718°,4.835±0.395,82.9,26.94,8.43,252
