Location,Regime,R²_det,R²_stoch,Leakage Ratio,GHI SD
Makassar,Monsoonal,0.999991,0.5803,1.723×,0.757
Kupang,Semi-Arid Tropical,0.999979,0.5345,1.871×,0.767
Surabaya,Tropical Monsoon,0.999969,0.4527,2.209×,0.593
Samarinda,Equatorial Maritime,0.999996,0.3910,2.557×,0.455
Medan,Equatorial Wet,0.999995,0.3695,2.706×,0.425
Bontang,Equatorial Maritime,0.999997,0.3353,2.982×,0.407
Pekanbaru,Equatorial Wet,0.999996,0.3281,3.048×,0.353
Balikpapan,Equatorial Maritime,0.999997,0.3215,3.110×,0.389
Jayapura,Equatorial Rainforest,0.999997,0.3132,3.193×,0.395
Pontianak,Equatorial Maritime,0.999997,0.2912,3.434×,0.373
Range,—,0.9999–1.0000,0.2912–0.5803,1.723×–3.434×,—
