Location,Regime,GHI (kWh/m²/d),DNI (kWh/m²/d),DIFF (kWh/m²/d),KT (—),Cloud (%),T2M (°C),RH (%),PRECTOT (mm/d),WS (m/s)
Medan,Equatorial Wet,4.689 ± 0.425,2.002 ± 0.584,2.655 ± 0.142,0.471 ± 0.038,89.3 ± 6.3,25.89 ± 0.62,85.2 ± 2.3,9.97 ± 3.88,1.75 ± 0.20
Pekanbaru,Equatorial Wet,4.703 ± 0.353,1.928 ± 0.559,2.682 ± 0.183,0.472 ± 0.039,86.0 ± 6.9,26.09 ± 0.44,90.5 ± 1.2,8.77 ± 3.31,0.67 ± 0.04
Pontianak,Equatorial Maritime,5.072 ± 0.373,2.887 ± 0.723,2.462 ± 0.217,0.509 ± 0.042,80.6 ± 9.3,26.31 ± 0.43,89.9 ± 1.0,9.88 ± 3.65,1.11 ± 0.14
Bontang,Equatorial Maritime,4.865 ± 0.407,2.705 ± 0.708,2.454 ± 0.179,0.488 ± 0.035,79.9 ± 9.7,26.92 ± 0.44,84.6 ± 1.5,7.70 ± 3.43,2.01 ± 0.40
Samarinda,Equatorial Maritime,4.709 ± 0.455,2.630 ± 0.718,2.358 ± 0.186,0.472 ± 0.041,80.3 ± 10.2,25.74 ± 0.42,91.4 ± 1.4,7.85 ± 3.11,0.70 ± 0.05
Balikpapan,Equatorial Maritime,4.701 ± 0.389,2.288 ± 0.614,2.486 ± 0.205,0.471 ± 0.036,81.7 ± 10.5,27.53 ± 0.40,82.0 ± 1.4,9.33 ± 3.74,2.60 ± 0.67
Makassar,Monsoonal,5.322 ± 0.757,3.824 ± 1.456,2.227 ± 0.346,0.538 ± 0.081,69.3 ± 21.0,27.49 ± 0.69,78.6 ± 5.8,8.49 ± 6.91,3.22 ± 0.70
Surabaya,Tropical Monsoon,5.185 ± 0.593,3.489 ± 1.373,2.295 ± 0.386,0.527 ± 0.070,67.7 ± 21.7,26.57 ± 1.45,77.6 ± 12.0,6.48 ± 5.30,2.32 ± 0.48
Kupang,Semi-Arid Tropical,5.868 ± 0.767,5.149 ± 1.350,2.094 ± 0.463,0.601 ± 0.073,55.1 ± 23.8,27.03 ± 1.18,73.8 ± 9.1,4.13 ± 4.78,3.85 ± 0.96
Jayapura,Equatorial Rainforest,4.835 ± 0.395,2.857 ± 0.694,2.374 ± 0.213,0.485 ± 0.038,82.9 ± 7.6,26.94 ± 0.43,82.1 ± 2.2,8.43 ± 3.52,3.12 ± 0.46
