site,model,RMSE,SkillScore,R2
medan,OLS-HC3,0.06588,0.1275,0.2387
medan,XGBoost,0.06818,0.097,0.1846
medan,SARIMAX+ONI,0.07718,-0.0221,-0.0448
pekanbaru,OLS-HC3,0.06517,0.0723,0.1394
pekanbaru,XGBoost,0.06788,0.0338,0.0665
pekanbaru,SARIMAX+ONI,0.07416,-0.0556,-0.1144
pontianak,OLS-HC3,0.0744,-0.0267,-0.0542
pontianak,XGBoost,0.07616,-0.051,-0.1046
pontianak,SARIMAX+ONI,0.07317,-0.0098,-0.0197
bontang,OLS-HC3,0.0696,0.023,0.0455
bontang,XGBoost,0.06643,0.0674,0.1302
bontang,SARIMAX+ONI,0.07538,-0.0582,-0.1198
samarinda,OLS-HC3,0.06846,0.1188,0.2235
samarinda,XGBoost,0.07151,0.0795,0.1527
samarinda,SARIMAX+ONI,0.07546,0.0288,0.0567
balikpapan,OLS-HC3,0.07374,-0.0207,-0.0419
balikpapan,XGBoost,0.06681,0.0751,0.1445
balikpapan,SARIMAX+ONI,0.07139,0.0117,0.0233
makassar,OLS-HC3,0.08448,0.1586,0.292
makassar,XGBoost,0.06976,0.3051,0.5171
makassar,SARIMAX+ONI,0.07682,0.2349,0.4146
surabaya,OLS-HC3,0.07334,0.161,0.2961
surabaya,XGBoost,0.07328,0.1617,0.2973
surabaya,SARIMAX+ONI,0.07841,0.1029,0.1953
kupang,OLS-HC3,0.08578,0.1533,0.2831
kupang,XGBoost,0.08307,0.18,0.3277
kupang,SARIMAX+ONI,0.08899,0.1216,0.2284
jayapura,OLS-HC3,0.07527,0.0225,0.0445
jayapura,XGBoost,0.06841,0.1116,0.2107
jayapura,SARIMAX+ONI,0.07361,0.044,0.0861
