site,model,wilcoxon_p,n_pos_folds
medan,OLS-HC3,0.1015625,6
medan,XGBoost,0.28515625,6
medan,SARIMAX+ONI,0.994140625,2
pekanbaru,OLS-HC3,0.150390625,6
pekanbaru,XGBoost,0.212890625,5
pekanbaru,SARIMAX+ONI,0.875,4
pontianak,OLS-HC3,0.58984375,5
pontianak,XGBoost,0.8203125,3
pontianak,SARIMAX+ONI,0.751953125,4
bontang,OLS-HC3,0.1796875,6
bontang,XGBoost,0.009765625,7
bontang,SARIMAX+ONI,0.849609375,4
samarinda,OLS-HC3,0.064453125,7
samarinda,XGBoost,0.08203125,7
samarinda,SARIMAX+ONI,0.41015625,5
balikpapan,OLS-HC3,0.1796875,6
balikpapan,XGBoost,0.001953125,9
balikpapan,SARIMAX+ONI,0.1796875,6
makassar,OLS-HC3,0.787109375,3
makassar,XGBoost,0.037109375,7
makassar,SARIMAX+ONI,0.41015625,5
surabaya,OLS-HC3,0.326171875,5
surabaya,XGBoost,0.212890625,5
surabaya,SARIMAX+ONI,0.41015625,5
kupang,OLS-HC3,0.150390625,5
kupang,XGBoost,0.125,6
kupang,SARIMAX+ONI,0.455078125,5
jayapura,OLS-HC3,0.326171875,6
jayapura,XGBoost,0.064453125,7
jayapura,SARIMAX+ONI,0.875,3
