,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,-0.045,-0.169,-0.025,0.02,0.009,-0.001,0.009,0.313,0.026,0.58,-0.119
cos_month,-0.0,1.0,0.287,0.216,0.011,-0.004,-0.001,-0.001,0.01,0.606,-0.128,0.201,0.109
GHI_lag1,-0.045,0.287,1.0,0.13,0.122,-0.074,-0.019,-0.032,0.0,0.22,-0.157,-0.004,0.227
GHI_lag12,-0.169,0.216,0.13,1.0,-0.023,0.132,0.146,-0.033,-0.056,0.304,-0.023,-0.118,0.205
GHI_anom,-0.025,0.011,0.122,-0.023,1.0,-0.693,-0.663,-0.015,0.02,0.199,-0.079,-0.201,0.392
CLOUD_anom,0.02,-0.004,-0.074,0.132,-0.693,1.0,0.505,-0.138,-0.169,0.306,0.184,0.09,-0.287
PRECTOT_anom,0.009,-0.001,-0.019,0.146,-0.663,0.505,1.0,-0.121,-0.154,-0.108,0.024,0.206,-0.246
ONI,-0.001,-0.001,-0.032,-0.033,-0.015,-0.138,-0.121,1.0,0.939,-0.129,-0.234,0.216,-0.024
ONI_lag2,0.009,0.01,0.0,-0.056,0.02,-0.169,-0.154,0.939,1.0,-0.116,-0.191,0.299,-0.018
GHI_x_CLOUD,0.313,0.606,0.22,0.304,0.199,0.306,-0.108,-0.129,-0.116,1.0,0.013,0.17,0.206
ONI_x_CLOUD_anom,0.026,-0.128,-0.157,-0.023,-0.079,0.184,0.024,-0.234,-0.191,0.013,1.0,0.04,-0.09
T2M_x_RH,0.58,0.201,-0.004,-0.118,-0.201,0.09,0.206,0.216,0.299,0.17,0.04,1.0,-0.164
Y_stoch,-0.119,0.109,0.227,0.205,0.392,-0.287,-0.246,-0.024,-0.018,0.206,-0.09,-0.164,1.0
