Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,-0.493092,0.362372,-1.360731,0.173599,-1.203329,0.217145
sin_month,-0.040455,0.010929,-3.701638,0.000214,-0.061875,-0.019034
cos_month,-0.047253,0.011777,-4.012145,6e-05,-0.070336,-0.024169
GHI_lag1,0.024514,0.01179,2.079182,0.037601,0.001406,0.047622
GHI_lag12,0.011249,0.011482,0.979732,0.327218,-0.011255,0.033752
GHI_anom,-0.06764,0.034907,-1.937734,0.052656,-0.136057,0.000776
CLOUD_anom,-0.009312,0.001923,-4.843146,1e-06,-0.013081,-0.005544
PRECTOT_anom,-5.3e-05,0.001957,-0.027076,0.978399,-0.003888,0.003782
ONI,0.012076,0.018277,0.660718,0.508793,-0.023746,0.047897
ONI_lag2,-0.016981,0.020405,-0.832179,0.405308,-0.056974,0.023013
GHI_x_CLOUD,0.172339,0.03272,5.267135,0.0,0.10821,0.236469
ONI_x_CLOUD_anom,-0.000304,0.001049,-0.290076,0.771758,-0.00236,0.001751
T2M_x_RH,7.5e-05,0.000144,0.521588,0.601957,-0.000207,0.000357
