p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-262.51,-254.47,0.0287,False,True
0,0,0,1,-262.49,-251.76,0.1921,True,True
0,0,1,0,-262.5,-251.77,0.1965,True,True
0,0,1,1,-264.41,-251.0,0.3261,True,True
0,1,0,0,-262.67,-251.94,0.0971,True,True
0,1,0,1,-262.0,-248.59,0.2819,True,True
0,1,1,0,-261.97,-248.56,0.2776,True,True
0,1,1,1,-263.25,-247.15,0.3608,True,True
0,2,0,0,-261.73,-248.32,0.1412,True,True
0,2,0,1,-260.92,-244.83,0.3251,True,True
0,2,1,0,-260.83,-244.74,0.3087,True,True
0,2,1,1,-261.45,-242.67,0.354,True,True
1,0,0,0,-262.24,-251.51,0.0752,True,True
1,0,0,1,-261.72,-248.31,0.2637,True,True
1,0,1,0,-261.7,-248.29,0.2631,True,True
1,0,1,1,-263.11,-247.01,0.3765,True,True
1,1,0,0,-263.32,-249.91,0.0913,True,True
1,1,0,1,-263.75,-247.66,0.4194,True,True
1,1,1,0,-263.74,-247.65,0.4182,True,True
1,1,1,1,-262.15,-243.38,0.4474,True,True
1,2,0,0,-262.58,-246.49,0.3358,True,True
1,2,0,1,-261.27,-242.5,0.5018,True,True
1,2,1,0,-261.97,-243.2,0.4447,True,True
1,2,1,1,-259.32,-237.86,0.3372,True,True
2,0,0,0,-261.75,-248.34,0.1617,True,True
2,0,0,1,-260.87,-244.78,0.3379,True,True
2,0,1,0,-260.8,-244.7,0.3233,True,True
2,0,1,1,-261.52,-242.74,0.3756,True,True
2,1,0,0,-262.61,-246.52,0.3239,True,True
2,1,0,1,-261.57,-242.79,0.5347,True,True
2,1,1,0,-261.94,-243.17,0.4425,True,True
2,1,1,1,-259.55,-238.09,0.3655,True,True
2,2,0,0,-260.17,-241.4,0.2526,True,True
2,2,0,1,-261.58,-240.13,0.6359,True,True
2,2,1,0,-260.28,-238.82,0.5065,True,True
2,2,1,1,-260.56,-236.42,0.5074,True,True
