Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_anom,0.011789,-0.000108,0.013664,0.031214
sin_month,0.005642,0.000298,0.006981,0.017265
CLOUD_anom,0.004573,0.000155,0.005593,0.014035
GHI_lag1,0.004545,-3.9e-05,0.005163,0.010774
GHI_lag12,0.004484,-6e-06,0.005144,0.013045
T2M_x_RH,0.003196,-0.000139,0.003863,0.010603
cos_month,0.002862,-3.4e-05,0.003068,0.005966
GHI_x_CLOUD,0.002306,7.9e-05,0.002697,0.005157
PRECTOT_anom,0.000994,-8.3e-05,0.00132,0.004843
ONI,0.000984,8e-05,0.001149,0.002553
ONI_lag2,0.000799,6.8e-05,0.000944,0.001889
ONI_x_CLOUD_anom,0.000555,-4.6e-05,0.000714,0.002266
