,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_anom,0.01179,0.00864,0.01211,1,1,1
sin_month,0.00564,0.00253,0.00498,2,7,3
CLOUD_anom,0.00457,0.00457,0.00424,3,3,4
GHI_lag1,0.00455,0.00626,0.00402,4,2,5
GHI_lag12,0.00448,0.00444,0.00499,5,4,2
T2M_x_RH,0.0032,0.00255,0.00341,6,6,6
cos_month,0.00286,0.00116,0.00163,7,11,9
GHI_x_CLOUD,0.00231,0.00439,0.00253,8,5,7
PRECTOT_anom,0.00099,0.00133,0.00099,9,9,11
ONI,0.00098,0.00224,0.00174,10,8,8
ONI_lag2,0.0008,0.00128,0.00032,11,10,12
ONI_x_CLOUD_anom,0.00056,0.00051,0.00106,12,12,10
