,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,-0.225,-0.482,-0.03,0.015,0.031,-0.001,0.009,0.57,0.134,0.814,-0.318
cos_month,-0.0,1.0,0.605,0.419,-0.0,-0.003,0.008,-0.001,0.01,0.636,-0.208,0.444,0.232
GHI_lag1,-0.225,0.605,1.0,0.5,0.166,-0.14,-0.106,0.152,0.189,0.191,-0.198,0.041,0.422
GHI_lag12,-0.482,0.419,0.5,1.0,0.036,0.02,-0.014,-0.049,-0.038,-0.066,-0.255,-0.249,0.461
GHI_anom,-0.03,-0.0,0.166,0.036,1.0,-0.775,-0.652,0.333,0.37,-0.241,-0.099,-0.237,0.465
CLOUD_anom,0.015,-0.003,-0.14,0.02,-0.775,1.0,0.484,-0.387,-0.378,0.449,0.008,0.278,-0.424
PRECTOT_anom,0.031,0.008,-0.106,-0.014,-0.652,0.484,1.0,-0.225,-0.242,0.16,0.051,0.182,-0.335
ONI,-0.001,-0.001,0.152,-0.049,0.333,-0.387,-0.225,1.0,0.939,-0.169,-0.212,-0.098,0.129
ONI_lag2,0.009,0.01,0.189,-0.038,0.37,-0.378,-0.242,0.939,1.0,-0.141,-0.225,-0.062,0.134
GHI_x_CLOUD,0.57,0.636,0.191,-0.066,-0.241,0.449,0.16,-0.169,-0.141,1.0,-0.059,0.883,-0.246
ONI_x_CLOUD_anom,0.134,-0.208,-0.198,-0.255,-0.099,0.008,0.051,-0.212,-0.225,-0.059,1.0,0.036,-0.182
T2M_x_RH,0.814,0.444,0.041,-0.249,-0.237,0.278,0.182,-0.098,-0.062,0.883,0.036,1.0,-0.312
Y_stoch,-0.318,0.232,0.422,0.461,0.465,-0.424,-0.335,0.129,0.134,-0.246,-0.182,-0.312,1.0
