Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.841717,0.238038,3.536057,0.000406,0.37517,1.308263
sin_month,0.095129,0.029765,3.196002,0.001393,0.036791,0.153468
cos_month,0.147914,0.035771,4.135019,3.5e-05,0.077804,0.218024
GHI_lag1,0.027822,0.011347,2.45199,0.014207,0.005583,0.05006
GHI_lag12,0.017172,0.010195,1.684322,0.092119,-0.00281,0.037155
GHI_anom,0.17851,0.040005,4.462148,8e-06,0.100101,0.256919
CLOUD_anom,0.006325,0.001939,3.261564,0.001108,0.002524,0.010126
PRECTOT_anom,-0.002388,0.003421,-0.698117,0.485104,-0.009092,0.004316
ONI,0.006931,0.021472,0.322767,0.746871,-0.035155,0.049016
ONI_lag2,-0.023511,0.023235,-1.011861,0.311604,-0.069051,0.022029
GHI_x_CLOUD,-0.115642,0.026186,-4.416198,1e-05,-0.166966,-0.064319
ONI_x_CLOUD_anom,-0.000551,0.000668,-0.823822,0.41004,-0.00186,0.000759
T2M_x_RH,-4.6e-05,9.9e-05,-0.458586,0.646532,-0.00024,0.000149
