p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-143.39,-135.35,0.0,False,True
0,0,0,1,-152.59,-141.86,0.1248,True,True
0,0,1,0,-156.06,-145.33,0.2544,True,True
0,0,1,1,-173.24,-159.83,0.4143,True,True
0,1,0,0,-150.81,-140.08,0.0102,False,True
0,1,0,1,-157.39,-143.98,0.4677,True,True
0,1,1,0,-159.6,-146.19,0.5954,True,True
0,1,1,1,-135.51,-119.42,0.0021,False,True
0,2,0,0,-148.95,-135.54,0.0085,False,True
0,2,0,1,-155.68,-139.59,0.4679,True,True
0,2,1,0,-158.09,-142.0,0.6476,True,True
0,2,1,1,-129.57,-110.79,0.0012,False,True
1,0,0,0,-150.44,-139.71,0.0036,False,True
1,0,0,1,-157.76,-144.34,0.4811,True,True
1,0,1,0,-160.17,-146.76,0.644,True,True
1,0,1,1,-140.07,-123.97,0.0206,False,True
1,1,0,0,-148.93,-135.51,0.0087,False,True
1,1,0,1,-155.76,-139.66,0.4804,True,True
1,1,1,0,-158.26,-142.17,0.686,True,True
1,1,1,1,-146.51,-127.73,0.1437,True,True
1,2,0,0,-146.96,-130.86,0.0085,False,True
1,2,0,1,-153.77,-134.99,0.4793,True,True
1,2,1,0,-155.64,-136.87,0.6223,True,True
1,2,1,1,-154.98,-133.52,0.0198,False,True
2,0,0,0,-149.16,-135.75,0.0129,False,True
2,0,0,1,-155.76,-139.66,0.4797,True,True
2,0,1,0,-158.27,-142.18,0.6881,True,True
2,0,1,1,-135.18,-116.4,0.0091,False,True
2,1,0,0,-152.38,-136.29,0.0173,False,True
2,1,0,1,-153.76,-134.98,0.4804,True,True
2,1,1,0,-156.18,-137.41,0.6496,True,True
2,1,1,1,-130.47,-109.01,0.0063,False,True
2,2,0,0,-144.96,-126.18,0.0089,False,True
2,2,0,1,-151.82,-130.36,0.5105,True,True
2,2,1,0,-154.45,-132.99,0.752,True,True
2,2,1,1,-132.74,-108.6,0.0231,False,True
