Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_lag12,0.024144,-0.000453,0.029244,0.0667
CLOUD_anom,0.02324,-0.001806,0.026657,0.052552
GHI_lag1,0.019837,-0.00027,0.020997,0.033995
GHI_anom,0.017013,9.8e-05,0.023307,0.051246
T2M_x_RH,0.011094,0.000702,0.013916,0.029252
GHI_x_CLOUD,0.009411,-0.000551,0.01141,0.032581
cos_month,0.009373,0.000531,0.014244,0.049836
ONI_lag2,0.008578,-0.000802,0.009597,0.019753
PRECTOT_anom,0.006894,3.4e-05,0.009005,0.024806
sin_month,0.006348,0.000266,0.006987,0.017601
ONI,0.004972,-0.000209,0.006121,0.016
ONI_x_CLOUD_anom,0.004682,-0.000254,0.005744,0.018889
