,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_lag12,0.02414,0.02712,0.02347,1,1,1
CLOUD_anom,0.02324,0.02328,0.02239,2,2,2
GHI_lag1,0.01984,0.02276,0.02133,3,3,3
GHI_anom,0.01701,0.01374,0.01472,4,6,4
T2M_x_RH,0.01109,0.00625,0.01443,5,12,5
GHI_x_CLOUD,0.00941,0.01597,0.00765,6,5,8
cos_month,0.00937,0.00792,0.01013,7,9,6
ONI_lag2,0.00858,0.01021,0.0083,8,8,7
PRECTOT_anom,0.00689,0.01182,0.0057,9,7,10
sin_month,0.00635,0.0165,0.00737,10,4,9
ONI,0.00497,0.00764,0.00545,11,10,11
ONI_x_CLOUD_anom,0.00468,0.00637,0.00371,12,11,12
