,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,-0.551,-0.618,-0.016,0.009,0.019,-0.001,0.009,0.547,0.346,0.765,-0.449
cos_month,-0.0,1.0,0.284,-0.035,0.011,-0.016,0.012,-0.001,0.01,0.496,-0.054,0.216,-0.062
GHI_lag1,-0.551,0.284,1.0,0.507,0.223,-0.234,-0.151,0.221,0.238,-0.18,-0.271,-0.474,0.498
GHI_lag12,-0.618,-0.035,0.507,1.0,-0.001,0.044,0.007,-0.101,-0.076,-0.293,-0.293,-0.637,0.537
GHI_anom,-0.016,0.011,0.223,-0.001,1.0,-0.811,-0.747,0.471,0.469,-0.3,-0.184,-0.342,0.379
CLOUD_anom,0.009,-0.016,-0.234,0.044,-0.811,1.0,0.563,-0.563,-0.507,0.555,0.209,0.407,-0.319
PRECTOT_anom,0.019,0.012,-0.151,0.007,-0.747,0.563,1.0,-0.309,-0.307,0.188,0.073,0.282,-0.297
ONI,-0.001,-0.001,0.221,-0.101,0.471,-0.563,-0.309,1.0,0.939,-0.321,-0.377,-0.167,0.169
ONI_lag2,0.009,0.01,0.238,-0.076,0.469,-0.507,-0.307,0.939,1.0,-0.259,-0.319,-0.113,0.154
GHI_x_CLOUD,0.547,0.496,-0.18,-0.293,-0.3,0.555,0.188,-0.321,-0.259,1.0,0.301,0.776,-0.361
ONI_x_CLOUD_anom,0.346,-0.054,-0.271,-0.293,-0.184,0.209,0.073,-0.377,-0.319,0.301,1.0,0.329,-0.255
T2M_x_RH,0.765,0.216,-0.474,-0.637,-0.342,0.407,0.282,-0.167,-0.113,0.776,0.329,1.0,-0.628
Y_stoch,-0.449,-0.062,0.498,0.537,0.379,-0.319,-0.297,0.169,0.154,-0.361,-0.255,-0.628,1.0
