Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,1.121091,0.248806,4.505877,7e-06,0.633439,1.608743
sin_month,-0.010948,0.021025,-0.52073,0.602555,-0.052157,0.03026
cos_month,-0.035878,0.015908,-2.255271,0.024116,-0.067058,-0.004698
GHI_lag1,0.021836,0.01229,1.776808,0.0756,-0.002251,0.045924
GHI_lag12,0.028023,0.010343,2.709336,0.006742,0.007751,0.048295
GHI_anom,0.020885,0.041301,0.505678,0.613083,-0.060063,0.101833
CLOUD_anom,-0.002526,0.002091,-1.207693,0.227165,-0.006625,0.001573
PRECTOT_anom,0.000501,0.002482,0.201818,0.840059,-0.004364,0.005365
ONI,0.007841,0.023583,0.332465,0.739538,-0.038382,0.054063
ONI_lag2,-0.002916,0.02416,-0.120692,0.903935,-0.050268,0.044436
GHI_x_CLOUD,0.06641,0.028473,2.332423,0.019678,0.010605,0.122216
ONI_x_CLOUD_anom,-0.000301,0.000568,-0.52941,0.596521,-0.001414,0.000813
T2M_x_RH,-0.000481,0.000109,-4.409843,1e-05,-0.000695,-0.000267
