p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-165.32,-157.27,0.0,False,True
0,0,0,1,-179.62,-168.89,0.0431,False,True
0,0,1,0,-184.49,-173.76,0.2723,True,True
0,0,1,1,-197.7,-184.28,0.5308,True,True
0,1,0,0,-175.89,-165.16,0.0002,False,True
0,1,0,1,-186.04,-172.63,0.3746,True,True
0,1,1,0,-188.76,-175.35,0.6827,True,True
0,1,1,1,-199.43,-183.34,0.6219,True,True
0,2,0,0,-174.7,-161.28,0.0004,False,True
0,2,0,1,-184.47,-168.37,0.3942,True,True
0,2,1,0,-187.23,-171.14,0.7384,True,True
0,2,1,1,-177.87,-159.09,0.0142,False,True
1,0,0,0,-175.01,-164.28,0.0,False,True
1,0,0,1,-186.08,-172.67,0.3565,True,True
1,0,1,0,-189.12,-175.71,0.745,True,True
1,0,1,1,-169.22,-153.13,0.0,False,True
1,1,0,0,-174.27,-160.86,0.0003,False,True
1,1,0,1,-184.33,-168.24,0.3856,True,True
1,1,1,0,-187.14,-171.04,0.7357,True,True
1,1,1,1,-187.2,-168.42,0.0642,True,True
1,2,0,0,-174.41,-158.32,0.0011,False,True
1,2,0,1,-182.91,-164.13,0.3778,True,True
1,2,1,0,-185.23,-166.45,0.7386,True,True
1,2,1,1,-175.69,-154.23,0.0217,False,True
2,0,0,0,-175.7,-162.29,0.0031,False,True
2,0,0,1,-184.5,-168.41,0.4065,True,True
2,0,1,0,-187.15,-171.05,0.7297,True,True
2,0,1,1,-173.58,-154.81,0.0099,False,True
2,1,0,0,-171.01,-154.92,0.0,False,True
2,1,0,1,-182.1,-163.33,0.3488,True,True
2,1,1,0,-185.2,-166.42,0.7514,True,True
2,1,1,1,-180.82,-159.37,0.0254,False,True
2,2,0,0,-190.58,-171.8,0.0997,True,True
2,2,0,1,-192.84,-171.38,0.1801,True,True
2,2,1,0,-189.01,-167.55,0.7124,True,True
2,2,1,1,-187.02,-162.88,0.1648,True,True
