Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
T2M_x_RH,0.024548,0.000834,0.029528,0.056154
GHI_lag1,0.018507,-0.002234,0.021235,0.041133
sin_month,0.011432,-0.000461,0.013247,0.023686
GHI_anom,0.007796,0.000417,0.010505,0.024666
CLOUD_anom,0.007506,-0.000325,0.008425,0.019743
cos_month,0.006491,0.000122,0.007609,0.015571
GHI_lag12,0.005564,0.000435,0.006398,0.013522
ONI_x_CLOUD_anom,0.001695,1.7e-05,0.00208,0.006588
ONI_lag2,0.001673,8.7e-05,0.002064,0.005259
GHI_x_CLOUD,0.001658,0.000273,0.002062,0.006623
PRECTOT_anom,0.001472,0.000217,0.001795,0.004634
ONI,0.001301,0.000196,0.001645,0.005281
