,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
T2M_x_RH,0.02455,0.01708,0.02448,1,2,1
GHI_lag1,0.01851,0.02201,0.01899,2,1,2
sin_month,0.01143,0.01341,0.00994,3,3,3
GHI_anom,0.0078,0.01133,0.00658,4,4,6
CLOUD_anom,0.00751,0.0107,0.00888,5,5,4
cos_month,0.00649,0.00406,0.00729,6,7,5
GHI_lag12,0.00556,0.00824,0.00633,7,6,7
ONI_x_CLOUD_anom,0.00169,0.00099,0.0015,8,12,11
ONI_lag2,0.00167,0.00249,0.00153,9,9,10
GHI_x_CLOUD,0.00166,0.00209,0.00171,10,11,9
PRECTOT_anom,0.00147,0.00305,0.00219,11,8,8
ONI,0.0013,0.00235,0.00125,12,10,12
