,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,0.046,0.366,0.016,0.022,0.012,-0.001,0.009,-0.028,-0.244,0.299,0.233
cos_month,-0.0,1.0,-0.617,-0.496,-0.0,0.01,-0.003,-0.001,0.01,-0.506,-0.171,0.121,-0.328
GHI_lag1,0.046,-0.617,1.0,0.397,0.106,-0.006,0.08,-0.067,-0.049,0.534,0.057,-0.023,0.318
GHI_lag12,0.366,-0.496,0.397,1.0,-0.021,0.035,-0.0,-0.034,-0.048,0.334,-0.078,-0.153,0.382
GHI_anom,0.016,-0.0,0.106,-0.021,1.0,-0.527,-0.16,-0.087,-0.042,0.436,-0.009,-0.15,0.408
CLOUD_anom,0.022,0.01,-0.006,0.035,-0.527,1.0,0.306,-0.224,-0.264,0.309,-0.003,0.001,-0.13
PRECTOT_anom,0.012,-0.003,0.08,-0.0,-0.16,0.306,1.0,-0.18,-0.194,0.097,-0.066,0.005,-0.069
ONI,-0.001,-0.001,-0.067,-0.034,-0.087,-0.224,-0.18,1.0,0.939,-0.232,-0.05,0.317,-0.037
ONI_lag2,0.009,0.01,-0.049,-0.048,-0.042,-0.264,-0.194,0.939,1.0,-0.229,-0.103,0.393,-0.032
GHI_x_CLOUD,-0.028,-0.506,0.534,0.334,0.436,0.309,0.097,-0.232,-0.229,1.0,0.095,-0.146,0.496
ONI_x_CLOUD_anom,-0.244,-0.171,0.057,-0.078,-0.009,-0.003,-0.066,-0.05,-0.103,0.095,1.0,-0.095,-0.014
T2M_x_RH,0.299,0.121,-0.023,-0.153,-0.15,0.001,0.005,0.317,0.393,-0.146,-0.095,1.0,-0.062
Y_stoch,0.233,-0.328,0.318,0.382,0.408,-0.13,-0.069,-0.037,-0.032,0.496,-0.014,-0.062,1.0
