Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,-0.100798,0.289818,-0.347797,0.727993,-0.668831,0.467235
sin_month,0.024435,0.007742,3.1561,0.001599,0.009261,0.03961
cos_month,0.005074,0.008914,0.569248,0.569188,-0.012396,0.022545
GHI_lag1,-0.012707,0.013314,-0.954375,0.339894,-0.038803,0.013389
GHI_lag12,0.020414,0.014685,1.39012,0.164492,-0.008368,0.049196
GHI_anom,-0.032369,0.043862,-0.737968,0.460534,-0.118336,0.053599
CLOUD_anom,-0.00692,0.002515,-2.751419,0.005934,-0.011849,-0.00199
PRECTOT_anom,-0.000647,0.001259,-0.513432,0.607649,-0.003115,0.001822
ONI,0.007837,0.016901,0.463669,0.642885,-0.025289,0.040962
ONI_lag2,-0.004211,0.018887,-0.222969,0.823559,-0.041228,0.032806
GHI_x_CLOUD,0.177796,0.041875,4.245895,2.2e-05,0.095723,0.259869
ONI_x_CLOUD_anom,-0.000246,0.002017,-0.121811,0.903048,-0.004199,0.003707
T2M_x_RH,-7.4e-05,0.000121,-0.609691,0.542066,-0.000311,0.000163
