p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-247.96,-239.91,0.0158,False,True
0,0,0,1,-250.08,-239.35,0.3313,True,True
0,0,1,0,-251.07,-240.34,0.4642,True,True
0,0,1,1,-243.17,-229.76,0.0185,False,True
0,1,0,0,-251.47,-240.74,0.2746,True,True
0,1,0,1,-251.79,-238.38,0.6443,True,True
0,1,1,0,-252.34,-238.93,0.717,True,True
0,1,1,1,-246.74,-230.65,0.219,True,True
0,2,0,0,-249.73,-236.32,0.2886,True,True
0,2,0,1,-250.01,-233.92,0.668,True,True
0,2,1,0,-250.57,-234.48,0.7456,True,True
0,2,1,1,-244.92,-226.14,0.2441,True,True
1,0,0,0,-251.75,-241.03,0.2981,True,True
1,0,0,1,-252.04,-238.63,0.6745,True,True
1,0,1,0,-252.59,-239.17,0.7451,True,True
1,0,1,1,-246.23,-230.13,0.1763,True,True
1,1,0,0,-249.75,-236.34,0.2986,True,True
1,1,0,1,-250.07,-233.98,0.6871,True,True
1,1,1,0,-250.63,-234.54,0.7626,True,True
1,1,1,1,-242.85,-224.08,0.1229,True,True
1,2,0,0,-247.78,-231.68,0.2966,True,True
1,2,0,1,-248.09,-229.32,0.6897,True,True
1,2,1,0,-248.34,-229.56,0.7213,True,True
1,2,1,1,-243.19,-221.73,0.2205,True,True
2,0,0,0,-249.75,-236.34,0.2982,True,True
2,0,0,1,-250.08,-233.99,0.687,True,True
2,0,1,0,-250.64,-234.55,0.7635,True,True
2,0,1,1,-244.85,-226.08,0.2857,True,True
2,1,0,0,-247.76,-231.67,0.2991,True,True
2,1,0,1,-248.07,-229.3,0.6885,True,True
2,1,1,0,-248.59,-229.81,0.7435,True,True
2,1,1,1,-242.16,-220.7,0.2535,True,True
2,2,0,0,-251.53,-232.75,0.5237,True,True
2,2,0,1,-246.08,-224.62,0.6854,True,True
2,2,1,0,-250.78,-229.33,0.6342,True,True
2,2,1,1,-237.87,-213.73,0.0746,True,True
