Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_x_CLOUD,0.018721,0.001226,0.022692,0.058425
sin_month,0.014338,-2.9e-05,0.015528,0.029538
GHI_anom,0.014296,-0.000275,0.016936,0.032452
GHI_lag12,0.010834,-3.4e-05,0.012666,0.03223
PRECTOT_anom,0.008709,-0.000356,0.01026,0.024541
ONI_x_CLOUD_anom,0.008188,0.000202,0.0092,0.021506
CLOUD_anom,0.006412,-0.000523,0.007766,0.0202
GHI_lag1,0.005362,1e-04,0.006216,0.013259
ONI_lag2,0.004584,-0.000385,0.005686,0.014791
T2M_x_RH,0.003597,-0.000242,0.00449,0.015094
cos_month,0.002772,-0.000335,0.003545,0.009497
ONI,0.002499,0.000266,0.002855,0.006573
