,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_x_CLOUD,0.01872,0.01617,0.01672,1,2,1
sin_month,0.01434,0.00829,0.01332,2,5,3
GHI_anom,0.0143,0.01462,0.01655,3,3,2
GHI_lag12,0.01083,0.01914,0.0123,4,1,4
PRECTOT_anom,0.00871,0.00673,0.00909,5,7,5
ONI_x_CLOUD_anom,0.00819,0.0025,0.00586,6,11,7
CLOUD_anom,0.00641,0.00826,0.0064,7,6,6
GHI_lag1,0.00536,0.00879,0.00502,8,4,8
ONI_lag2,0.00458,0.00535,0.00415,9,9,9
T2M_x_RH,0.0036,0.00253,0.00305,10,10,11
cos_month,0.00277,0.00048,0.00405,11,12,10
ONI,0.0025,0.00671,0.00257,12,8,12
