,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,-0.16,0.054,0.027,0.024,0.045,-0.001,0.009,0.096,0.106,0.222,0.03
cos_month,-0.0,1.0,-0.362,-0.382,-0.014,0.019,0.017,-0.001,0.01,0.215,-0.06,-0.387,-0.246
GHI_lag1,-0.16,-0.362,1.0,0.135,0.239,0.115,-0.005,-0.187,-0.191,0.269,-0.051,0.214,0.199
GHI_lag12,0.054,-0.382,0.135,1.0,-0.048,0.069,0.006,0.046,0.005,0.057,0.018,0.253,0.19
GHI_anom,0.027,-0.014,0.239,-0.048,1.0,-0.113,-0.06,-0.223,-0.206,0.608,0.085,-0.121,0.474
CLOUD_anom,0.024,0.019,0.115,0.069,-0.113,1.0,0.359,-0.242,-0.214,0.545,0.098,0.068,-0.112
PRECTOT_anom,0.045,0.017,-0.005,0.006,-0.06,0.359,1.0,-0.139,-0.095,0.178,-0.024,0.151,0.022
ONI,-0.001,-0.001,-0.187,0.046,-0.223,-0.242,-0.139,1.0,0.939,-0.304,-0.062,0.315,-0.111
ONI_lag2,0.009,0.01,-0.191,0.005,-0.206,-0.214,-0.095,0.939,1.0,-0.272,-0.053,0.388,-0.12
GHI_x_CLOUD,0.096,0.215,0.269,0.057,0.608,0.545,0.178,-0.304,-0.272,1.0,0.115,0.064,0.304
ONI_x_CLOUD_anom,0.106,-0.06,-0.051,0.018,0.085,0.098,-0.024,-0.062,-0.053,0.115,1.0,0.047,-0.001
T2M_x_RH,0.222,-0.387,0.214,0.253,-0.121,0.068,0.151,0.315,0.388,0.064,0.047,1.0,0.079
Y_stoch,0.03,-0.246,0.199,0.19,0.474,-0.112,0.022,-0.111,-0.12,0.304,-0.001,0.079,1.0
