Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.298791,0.253903,1.176791,0.239279,-0.19885,0.796432
sin_month,-0.002118,0.006278,-0.337448,0.735779,-0.014422,0.010186
cos_month,-0.041291,0.009542,-4.327252,1.5e-05,-0.059993,-0.022589
GHI_lag1,-0.01435,0.013317,-1.077589,0.281217,-0.040451,0.011751
GHI_lag12,0.01393,0.015971,0.872254,0.38307,-0.017371,0.045232
GHI_anom,0.019206,0.028424,0.675705,0.499228,-0.036503,0.074915
CLOUD_anom,-0.006443,0.001702,-3.785867,0.000153,-0.009779,-0.003108
PRECTOT_anom,0.002394,0.001611,1.486467,0.137156,-0.000763,0.005551
ONI,0.007943,0.015578,0.509918,0.610109,-0.022589,0.038475
ONI_lag2,-0.009136,0.017494,-0.522271,0.601482,-0.043423,0.02515
GHI_x_CLOUD,0.114279,0.031558,3.621221,0.000293,0.052426,0.176131
ONI_x_CLOUD_anom,-0.001278,0.001478,-0.864619,0.387248,-0.004174,0.001619
T2M_x_RH,-0.000103,0.000119,-0.871012,0.383748,-0.000336,0.000129
