p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-257.41,-249.37,0.0597,True,True
0,0,0,1,-259.08,-248.35,0.3969,True,True
0,0,1,0,-259.3,-248.57,0.4113,True,True
0,0,1,1,-258.76,-245.35,0.4213,True,True
0,1,0,0,-260.4,-249.67,0.3425,True,True
0,1,0,1,-261.51,-248.09,0.8202,True,True
0,1,1,0,-261.75,-248.34,0.8449,True,True
0,1,1,1,-261.02,-244.92,0.7959,True,True
0,2,0,0,-258.5,-245.09,0.3202,True,True
0,2,0,1,-259.62,-243.53,0.8166,True,True
0,2,1,0,-259.9,-243.8,0.8482,True,True
0,2,1,1,-258.46,-239.69,0.7504,True,True
1,0,0,0,-260.46,-249.73,0.3039,True,True
1,0,0,1,-261.67,-248.26,0.8243,True,True
1,0,1,0,-261.95,-248.54,0.857,True,True
1,0,1,1,-261.08,-244.99,0.7757,True,True
1,1,0,0,-258.5,-245.09,0.3212,True,True
1,1,0,1,-259.67,-243.58,0.824,True,True
1,1,1,0,-255.86,-239.77,0.5707,True,True
1,1,1,1,-258.85,-240.07,0.7862,True,True
1,2,0,0,-256.5,-240.41,0.3186,True,True
1,2,0,1,-257.67,-238.9,0.825,True,True
1,2,1,0,-258.39,-239.61,0.8737,True,True
1,2,1,1,-257.04,-235.58,0.7743,True,True
2,0,0,0,-258.51,-245.1,0.3294,True,True
2,0,0,1,-259.67,-243.58,0.8244,True,True
2,0,1,0,-259.95,-243.86,0.8577,True,True
2,0,1,1,-259.07,-240.29,0.7908,True,True
2,1,0,0,-258.39,-242.29,0.4877,True,True
2,1,0,1,-257.67,-238.9,0.8242,True,True
2,1,1,0,-258.21,-239.43,0.8431,True,True
2,1,1,1,-257.1,-235.64,0.7844,True,True
2,2,0,0,-264.86,-246.09,0.6843,True,True
2,2,0,1,-255.68,-234.22,0.8308,True,True
2,2,1,0,-248.59,-227.14,0.4599,True,True
2,2,1,1,-254.37,-230.23,0.7756,True,True
