Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_anom,0.021624,0.000278,0.024819,0.052448
GHI_lag12,0.008926,0.000123,0.010733,0.023053
CLOUD_anom,0.008776,7.7e-05,0.01044,0.025796
cos_month,0.008619,-3.6e-05,0.010224,0.031526
PRECTOT_anom,0.008255,-4.7e-05,0.010807,0.03677
T2M_x_RH,0.007086,-8.5e-05,0.0088,0.025018
GHI_x_CLOUD,0.006597,-5.3e-05,0.007864,0.017845
GHI_lag1,0.005132,0.000163,0.005883,0.015015
ONI_lag2,0.004775,-1.1e-05,0.006762,0.029462
sin_month,0.003991,-6.1e-05,0.00446,0.010497
ONI,0.003486,0.000199,0.004265,0.010175
ONI_x_CLOUD_anom,0.003213,0.000355,0.004169,0.015079
