,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_anom,0.02162,0.02097,0.02294,1,1,1
GHI_lag12,0.00893,0.01454,0.00815,2,2,4
CLOUD_anom,0.00878,0.00376,0.00689,3,9,6
cos_month,0.00862,0.00576,0.00927,4,7,2
PRECTOT_anom,0.00825,0.00763,0.0087,5,3,3
T2M_x_RH,0.00709,0.00703,0.00806,6,5,5
GHI_x_CLOUD,0.0066,0.00725,0.00625,7,4,7
GHI_lag1,0.00513,0.00172,0.00469,8,12,8
ONI_lag2,0.00478,0.00347,0.00399,9,10,10
sin_month,0.00399,0.0027,0.00417,10,11,9
ONI,0.00349,0.00586,0.00361,11,6,11
ONI_x_CLOUD_anom,0.00321,0.0047,0.0036,12,8,12
