,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,-0.044,0.193,0.002,0.0,-0.001,-0.001,0.009,0.371,0.254,0.163,0.09
cos_month,-0.0,1.0,-0.43,-0.377,-0.012,0.01,0.009,-0.001,0.01,0.503,0.026,-0.236,-0.253
GHI_lag1,-0.044,-0.43,1.0,0.241,0.217,-0.018,0.044,-0.059,-0.049,-0.016,-0.081,0.151,0.245
GHI_lag12,0.193,-0.377,0.241,1.0,-0.019,0.067,-0.011,-0.086,-0.099,0.037,0.018,-0.062,0.235
GHI_anom,0.002,-0.012,0.217,-0.019,1.0,-0.309,-0.177,-0.065,-0.048,0.307,0.107,0.002,0.418
CLOUD_anom,0.0,0.01,-0.018,0.067,-0.309,1.0,0.511,-0.32,-0.268,0.513,-0.037,0.123,-0.139
PRECTOT_anom,-0.001,0.009,0.044,-0.011,-0.177,0.511,1.0,-0.033,0.066,0.244,-0.039,0.307,-0.093
ONI,-0.001,-0.001,-0.059,-0.086,-0.065,-0.32,-0.033,1.0,0.939,-0.245,-0.185,0.25,-0.035
ONI_lag2,0.009,0.01,-0.049,-0.099,-0.048,-0.268,0.066,0.939,1.0,-0.192,-0.137,0.353,-0.045
GHI_x_CLOUD,0.371,0.503,-0.016,0.037,0.307,0.513,0.244,-0.245,-0.192,1.0,0.103,-0.044,0.125
ONI_x_CLOUD_anom,0.254,0.026,-0.081,0.018,0.107,-0.037,-0.039,-0.185,-0.137,0.103,1.0,0.08,0.054
T2M_x_RH,0.163,-0.236,0.151,-0.062,0.002,0.123,0.307,0.25,0.353,-0.044,0.08,1.0,-0.0
Y_stoch,0.09,-0.253,0.245,0.235,0.418,-0.139,-0.093,-0.035,-0.045,0.125,0.054,-0.0,1.0
