Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,-0.224808,0.389926,-0.57654,0.56425,-0.98905,0.539434
sin_month,-0.030938,0.010867,-2.847064,0.004412,-0.052237,-0.00964
cos_month,-0.08139,0.01552,-5.244055,0.0,-0.11181,-0.050971
GHI_lag1,-0.016062,0.01377,-1.16647,0.243424,-0.04305,0.010926
GHI_lag12,0.005764,0.016229,0.355168,0.722464,-0.026044,0.037572
GHI_anom,-0.017436,0.030699,-0.567972,0.570054,-0.077604,0.042732
CLOUD_anom,-0.008784,0.002065,-4.253975,2.1e-05,-0.012831,-0.004737
PRECTOT_anom,0.000478,0.001709,0.279409,0.779931,-0.002872,0.003827
ONI,0.01835,0.018844,0.973814,0.330149,-0.018583,0.055283
ONI_lag2,-0.022516,0.020282,-1.110138,0.266939,-0.062267,0.017236
GHI_x_CLOUD,0.162906,0.035994,4.525881,6e-06,0.092358,0.233453
ONI_x_CLOUD_anom,0.00072,0.001416,0.508083,0.611395,-0.002056,0.003495
T2M_x_RH,7.3e-05,0.00015,0.486681,0.626485,-0.000221,0.000366
