Test,Results
Durbin_Watson,"{'stat': np.float64(2.1289), 'interpretation': 'No autocorr'}"
Breusch_Godfrey_lag1,"{'stat': np.float64(4.2819), 'p_value': np.float64(0.0385), 'interpretation': 'Serial correlation detected (use Newey-West)'}"
Breusch_Godfrey_lag12,"{'stat': np.float64(12.6925), 'p_value': np.float64(0.3918), 'interpretation': 'No seasonal autocorrelation'}"
Ljung_Box_lag1,"{'stat': np.float64(1.0688), 'p_value': np.float64(0.3012), 'interpretation': 'White noise'}"
Ljung_Box_lag6,"{'stat': np.float64(9.1539), 'p_value': np.float64(0.1651), 'interpretation': 'White noise'}"
Ljung_Box_lag12,"{'stat': np.float64(14.3802), 'p_value': np.float64(0.2771), 'interpretation': 'White noise'}"
White_Test,"{'stat': np.float64(45.4055), 'p_value': np.float64(0.3721), 'interpretation': 'Homoskedastic'}"
Breusch_Pagan,"{'stat': np.float64(5.8652), 'p_value': np.float64(0.6623), 'interpretation': 'Homoskedastic'}"
Jarque_Bera,"{'stat': np.float64(0.0268), 'p_value': np.float64(0.9867), 'skewness': np.float64(-0.0223), 'kurtosis': np.float64(2.9739), 'interpretation': 'Normal residuals'}"
Shapiro_Wilk,"{'stat': np.float64(0.9873), 'p_value': np.float64(0.8641), 'interpretation': 'Normal (consistent with JB)'}"
