p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-232.88,-224.83,0.1527,True,True
0,0,0,1,-233.48,-222.75,0.4422,True,True
0,0,1,0,-233.44,-222.72,0.4423,True,True
0,0,1,1,-234.64,-221.23,0.4175,True,True
0,1,0,0,-237.92,-227.19,0.6172,True,True
0,1,0,1,-237.6,-224.18,0.8403,True,True
0,1,1,0,-237.64,-224.23,0.853,True,True
0,1,1,1,-238.46,-222.37,0.7886,True,True
0,2,0,0,-236.04,-222.63,0.6606,True,True
0,2,0,1,-235.76,-219.67,0.8816,True,True
0,2,1,0,-235.81,-219.72,0.893,True,True
0,2,1,1,-236.8,-218.03,0.9012,True,True
1,0,0,0,-237.23,-226.5,0.4964,True,True
1,0,0,1,-237.09,-223.68,0.7814,True,True
1,0,1,0,-237.12,-223.71,0.7956,True,True
1,0,1,1,-237.75,-221.65,0.7119,True,True
1,1,0,0,-236.08,-222.67,0.6663,True,True
1,1,0,1,-235.95,-219.86,0.9095,True,True
1,1,1,0,-236.0,-219.91,0.919,True,True
1,1,1,1,-236.82,-218.04,0.8219,True,True
1,2,0,0,-234.02,-217.92,0.6611,True,True
1,2,0,1,-233.64,-214.87,0.8584,True,True
1,2,1,0,-234.1,-215.33,0.9196,True,True
1,2,1,1,-235.14,-213.69,0.9013,True,True
2,0,0,0,-235.75,-222.34,0.6006,True,True
2,0,0,1,-235.33,-219.24,0.8094,True,True
2,0,1,0,-235.38,-219.28,0.8228,True,True
2,0,1,1,-236.19,-217.41,0.7587,True,True
2,1,0,0,-234.59,-218.5,0.6301,True,True
2,1,0,1,-233.31,-214.53,0.7926,True,True
2,1,1,0,-234.0,-215.22,0.8175,True,True
2,1,1,1,-234.03,-212.57,0.7419,True,True
2,2,0,0,-232.15,-213.38,0.6506,True,True
2,2,0,1,-232.22,-210.77,0.9148,True,True
2,2,1,0,-223.44,-201.98,0.5546,True,True
2,2,1,1,-233.27,-209.13,0.9253,True,True
