Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_anom,0.020223,-0.000141,0.026287,0.081188
cos_month,0.011938,-0.000379,0.013852,0.031832
PRECTOT_anom,0.008709,0.000213,0.010684,0.02583
GHI_lag12,0.007942,0.000194,0.009635,0.026011
sin_month,0.006502,-0.000183,0.007757,0.022948
CLOUD_anom,0.00627,-0.000517,0.008124,0.024414
ONI_lag2,0.006143,-0.000334,0.008165,0.024699
ONI_x_CLOUD_anom,0.006061,0.000328,0.007471,0.027564
GHI_lag1,0.005052,-3.2e-05,0.007432,0.027693
T2M_x_RH,0.004533,9.3e-05,0.005832,0.019476
GHI_x_CLOUD,0.004473,0.000231,0.006296,0.022648
ONI,0.00377,0.000415,0.004719,0.014738
