,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_anom,0.02022,0.02616,0.02042,1,1,1
cos_month,0.01194,0.00707,0.01049,2,5,2
PRECTOT_anom,0.00871,0.00519,0.01024,3,9,3
GHI_lag12,0.00794,0.01579,0.00875,4,2,4
sin_month,0.0065,0.00296,0.00752,5,12,5
CLOUD_anom,0.00627,0.00416,0.0045,6,11,10
ONI_lag2,0.00614,0.00508,0.00624,7,10,7
ONI_x_CLOUD_anom,0.00606,0.00775,0.00632,8,3,6
GHI_lag1,0.00505,0.00763,0.00508,9,4,9
T2M_x_RH,0.00453,0.00581,0.00447,10,8,11
GHI_x_CLOUD,0.00447,0.006,0.00414,11,7,12
ONI,0.00377,0.00699,0.00516,12,6,8
