,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,0.063,0.047,-0.002,-0.012,-0.0,-0.001,0.009,0.44,0.232,0.294,0.042
cos_month,-0.0,1.0,0.025,0.054,0.003,0.007,-0.012,-0.001,0.01,0.557,-0.076,-0.201,0.003
GHI_lag1,0.063,0.025,1.0,0.067,0.457,-0.378,-0.253,0.375,0.458,0.066,-0.166,0.13,0.399
GHI_lag12,0.047,0.054,0.067,1.0,-0.144,0.161,0.114,-0.198,-0.158,0.227,-0.101,-0.123,0.078
GHI_anom,-0.002,0.003,0.457,-0.144,1.0,-0.765,-0.628,0.507,0.571,-0.022,-0.279,-0.152,0.491
CLOUD_anom,-0.012,0.007,-0.378,0.161,-0.765,1.0,0.539,-0.506,-0.505,0.439,0.283,0.285,-0.407
PRECTOT_anom,-0.0,-0.012,-0.253,0.114,-0.628,0.539,1.0,-0.433,-0.406,0.072,0.219,0.252,-0.263
ONI,-0.001,-0.001,0.375,-0.198,0.507,-0.506,-0.433,1.0,0.939,-0.132,-0.362,-0.076,0.249
ONI_lag2,0.009,0.01,0.458,-0.158,0.571,-0.505,-0.406,0.939,1.0,-0.069,-0.328,-0.013,0.277
GHI_x_CLOUD,0.44,0.557,0.066,0.227,-0.022,0.439,0.072,-0.132,-0.069,1.0,0.137,0.151,0.059
ONI_x_CLOUD_anom,0.232,-0.076,-0.166,-0.101,-0.279,0.283,0.219,-0.362,-0.328,0.137,1.0,0.266,-0.153
T2M_x_RH,0.294,-0.201,0.13,-0.123,-0.152,0.285,0.252,-0.076,-0.013,0.151,0.266,1.0,-0.108
Y_stoch,0.042,0.003,0.399,0.078,0.491,-0.407,-0.263,0.249,0.277,0.059,-0.153,-0.108,1.0
