Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,-0.514459,0.386151,-1.332273,0.182771,-1.271301,0.242384
sin_month,-0.052631,0.014932,-3.524619,0.000424,-0.081898,-0.023364
cos_month,-0.070889,0.017395,-4.075158,4.6e-05,-0.104983,-0.036795
GHI_lag1,0.025332,0.01368,1.851723,0.064066,-0.001481,0.052146
GHI_lag12,-0.002867,0.011962,-0.239659,0.810595,-0.026312,0.020578
GHI_anom,-0.087292,0.049244,-1.772628,0.07629,-0.183809,0.009225
CLOUD_anom,-0.011999,0.002854,-4.204072,2.6e-05,-0.017593,-0.006405
PRECTOT_anom,0.001754,0.002134,0.822128,0.411004,-0.002428,0.005936
ONI,0.015258,0.020289,0.752043,0.452025,-0.024507,0.055023
ONI_lag2,-0.022831,0.021586,-1.057671,0.290205,-0.065138,0.019477
GHI_x_CLOUD,0.225098,0.052496,4.287877,1.8e-05,0.122207,0.327989
ONI_x_CLOUD_anom,-0.000183,0.000945,-0.193979,0.846192,-0.002036,0.001669
T2M_x_RH,3.4e-05,0.000133,0.255147,0.79861,-0.000227,0.000295
