p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-250.21,-242.16,0.0078,False,True
0,0,0,1,-248.35,-237.63,0.0134,False,True
0,0,1,0,-248.38,-237.65,0.0146,False,True
0,0,1,1,-251.29,-237.88,0.0422,False,True
0,1,0,0,-256.41,-245.68,0.1224,True,True
0,1,0,1,-254.82,-241.41,0.2215,True,True
0,1,1,0,-254.88,-241.47,0.2361,True,True
0,1,1,1,-257.58,-241.48,0.2701,True,True
0,2,0,0,-254.89,-241.48,0.1652,True,True
0,2,0,1,-253.17,-237.08,0.2439,True,True
0,2,1,0,-253.21,-237.12,0.2553,True,True
0,2,1,1,-255.83,-237.06,0.3119,True,True
1,0,0,0,-254.45,-243.73,0.0546,True,True
1,0,0,1,-252.99,-239.58,0.1375,True,True
1,0,1,0,-253.07,-239.66,0.1543,True,True
1,0,1,1,-256.41,-240.32,0.2131,True,True
1,1,0,0,-254.72,-241.31,0.1497,True,True
1,1,0,1,-253.06,-236.96,0.2409,True,True
1,1,1,0,-253.1,-237.01,0.2538,True,True
1,1,1,1,-256.04,-237.27,0.309,True,True
1,2,0,0,-253.31,-237.22,0.1951,True,True
1,2,0,1,-251.48,-232.71,0.2517,True,True
1,2,1,0,-251.5,-232.73,0.2594,True,True
1,2,1,1,-253.3,-231.84,0.2706,True,True
2,0,0,0,-255.49,-242.08,0.1751,True,True
2,0,0,1,-253.62,-237.52,0.2194,True,True
2,0,1,0,-253.64,-237.54,0.2265,True,True
2,0,1,1,-251.64,-232.86,0.2235,True,True
2,1,0,0,-253.57,-237.48,0.1646,True,True
2,1,0,1,-251.66,-232.89,0.2005,True,True
2,1,1,0,-251.68,-232.9,0.2076,True,True
2,1,1,1,-252.7,-231.24,0.3115,True,True
2,2,0,0,-251.59,-232.82,0.1813,True,True
2,2,0,1,-249.69,-228.23,0.2245,True,True
2,2,1,0,-249.69,-228.24,0.2232,True,True
2,2,1,1,-250.3,-226.16,0.2818,True,True
