Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
GHI_anom,0.025491,0.000191,0.030293,0.073736
CLOUD_anom,0.01216,-0.000488,0.01465,0.038825
GHI_lag1,0.011615,-0.000737,0.013749,0.036095
sin_month,0.009552,-2.6e-05,0.011616,0.02881
ONI_lag2,0.007597,-0.000327,0.00847,0.016701
GHI_x_CLOUD,0.00677,-3e-05,0.007724,0.015159
PRECTOT_anom,0.00676,0.000369,0.007868,0.017495
ONI_x_CLOUD_anom,0.006631,-0.000127,0.009505,0.033642
cos_month,0.006334,0.000372,0.007546,0.019809
GHI_lag12,0.005649,0.000102,0.006891,0.016371
T2M_x_RH,0.005499,1e-04,0.006957,0.017745
ONI,0.005213,0.000681,0.006524,0.021573
