,full_sample,fold_1,fold_9,rank_full_sample,rank_fold_1,rank_fold_9
GHI_anom,0.02549,0.02118,0.02564,1,1,1
CLOUD_anom,0.01216,0.0068,0.01037,2,10,3
GHI_lag1,0.01162,0.01282,0.01111,3,2,2
sin_month,0.00955,0.00777,0.01013,4,8,4
ONI_lag2,0.0076,0.00875,0.00634,5,7,9
GHI_x_CLOUD,0.00677,0.00604,0.00817,6,11,5
PRECTOT_anom,0.00676,0.01026,0.00472,7,6,12
ONI_x_CLOUD_anom,0.00663,0.01157,0.00617,8,3,10
cos_month,0.00633,0.0048,0.00774,9,12,6
GHI_lag12,0.00565,0.01113,0.00696,10,4,7
T2M_x_RH,0.0055,0.00751,0.00656,11,9,8
ONI,0.00521,0.01031,0.00497,12,5,11
