,sin_month,cos_month,GHI_lag1,GHI_lag12,GHI_anom,CLOUD_anom,PRECTOT_anom,ONI,ONI_lag2,GHI_x_CLOUD,ONI_x_CLOUD_anom,T2M_x_RH,Y_stoch
sin_month,1.0,-0.0,-0.509,-0.616,-0.027,0.011,0.012,-0.001,0.009,0.531,0.331,0.82,-0.389
cos_month,-0.0,1.0,0.362,0.067,-0.007,0.003,0.018,-0.001,0.01,0.696,-0.07,0.1,-0.029
GHI_lag1,-0.509,0.362,1.0,0.424,0.317,-0.291,-0.209,0.251,0.248,-0.051,-0.223,-0.585,0.435
GHI_lag12,-0.616,0.067,0.424,1.0,0.002,0.039,0.046,-0.097,-0.06,-0.264,-0.234,-0.588,0.387
GHI_anom,-0.027,-0.007,0.317,0.002,1.0,-0.859,-0.619,0.426,0.383,-0.278,0.033,-0.396,0.454
CLOUD_anom,0.011,0.003,-0.291,0.039,-0.859,1.0,0.629,-0.496,-0.417,0.413,0.001,0.413,-0.4
PRECTOT_anom,0.012,0.018,-0.209,0.046,-0.619,0.629,1.0,-0.286,-0.233,0.236,-0.055,0.314,-0.327
ONI,-0.001,-0.001,0.251,-0.097,0.426,-0.496,-0.286,1.0,0.939,-0.205,-0.341,-0.183,0.166
ONI_lag2,0.009,0.01,0.248,-0.06,0.383,-0.417,-0.233,0.939,1.0,-0.151,-0.31,-0.12,0.132
GHI_x_CLOUD,0.531,0.696,-0.051,-0.264,-0.278,0.413,0.236,-0.205,-0.151,1.0,0.136,0.679,-0.345
ONI_x_CLOUD_anom,0.331,-0.07,-0.223,-0.234,0.033,0.001,-0.055,-0.341,-0.31,0.136,1.0,0.202,-0.114
T2M_x_RH,0.82,0.1,-0.585,-0.588,-0.396,0.413,0.314,-0.183,-0.12,0.679,0.202,1.0,-0.593
Y_stoch,-0.389,-0.029,0.435,0.387,0.454,-0.4,-0.327,0.166,0.132,-0.345,-0.114,-0.593,1.0
