Feature,Coef,HC3_SE,t_stat,p_value,CI_lower,CI_upper
const,0.720407,0.184692,3.900587,9.6e-05,0.358417,1.082397
sin_month,-0.000229,0.023093,-0.009937,0.992072,-0.045492,0.045033
cos_month,-0.038757,0.026388,-1.468738,0.141904,-0.090477,0.012963
GHI_lag1,0.006835,0.015135,0.451587,0.651567,-0.022829,0.036499
GHI_lag12,0.022548,0.011071,2.036624,0.041688,0.000849,0.044247
GHI_anom,0.043935,0.038991,1.126815,0.259821,-0.032485,0.120355
CLOUD_anom,-0.001489,0.002046,-0.72798,0.466626,-0.005499,0.00252
PRECTOT_anom,-0.0011,0.001963,-0.560437,0.575182,-0.004947,0.002747
ONI,-0.005233,0.0211,-0.24802,0.804119,-0.046588,0.036122
ONI_lag2,-0.000388,0.02069,-0.018751,0.98504,-0.04094,0.040165
GHI_x_CLOUD,0.041864,0.031236,1.340252,0.180164,-0.019357,0.103084
ONI_x_CLOUD_anom,-0.000641,0.00061,-1.051765,0.292908,-0.001836,0.000554
T2M_x_RH,-0.000219,6.8e-05,-3.231369,0.001232,-0.000352,-8.6e-05
