p,q,P,Q,AIC,BIC,LB12_p,LB_ok,converged
0,0,0,0,-202.82,-194.77,0.0018,False,True
0,0,0,1,-208.76,-198.03,0.1717,True,True
0,0,1,0,-208.68,-197.95,0.2339,True,True
0,0,1,1,-216.46,-203.05,0.5041,True,True
0,1,0,0,-206.21,-195.48,0.0598,True,True
0,1,0,1,-209.59,-196.18,0.2661,True,True
0,1,1,0,-209.47,-196.06,0.3352,True,True
0,1,1,1,-218.29,-202.2,0.631,True,True
0,2,0,0,-207.94,-194.53,0.1195,True,True
0,2,0,1,-211.24,-195.14,0.5279,True,True
0,2,1,0,-211.35,-195.26,0.6384,True,True
0,2,1,1,-216.96,-198.19,0.7642,True,True
1,0,0,0,-207.48,-196.75,0.0856,True,True
1,0,0,1,-210.5,-197.09,0.2786,True,True
1,0,1,0,-210.4,-196.99,0.3447,True,True
1,0,1,1,-213.93,-197.83,0.1749,True,True
1,1,0,0,-205.66,-192.25,0.0777,True,True
1,1,0,1,-209.3,-193.2,0.3337,True,True
1,1,1,0,-209.32,-193.23,0.4308,True,True
1,1,1,1,-215.26,-196.48,0.6362,True,True
1,2,0,0,-205.95,-189.85,0.1188,True,True
1,2,0,1,-209.3,-190.52,0.5407,True,True
1,2,1,0,-206.77,-188.0,0.3088,True,True
1,2,1,1,-213.65,-192.19,0.6929,True,True
2,0,0,0,-205.9,-192.49,0.067,True,True
2,0,0,1,-210.2,-194.11,0.4257,True,True
2,0,1,0,-210.4,-194.31,0.5695,True,True
2,0,1,1,-216.39,-197.61,0.6919,True,True
2,1,0,0,-204.91,-188.82,0.075,True,True
2,1,0,1,-208.33,-189.55,0.4101,True,True
2,1,1,0,-208.79,-190.01,0.3577,True,True
2,1,1,1,-214.62,-193.16,0.7035,True,True
2,2,0,0,-207.93,-189.16,0.4134,True,True
2,2,0,1,-210.97,-189.51,0.6995,True,True
2,2,1,0,-201.99,-180.54,0.2736,True,True
2,2,1,1,-213.18,-189.04,0.7969,True,True
