Feature,mean_abs_SHAP,mean_SHAP,std_SHAP,max_abs_SHAP
T2M_x_RH,0.025255,0.000288,0.028709,0.054896
CLOUD_anom,0.016102,0.000199,0.018278,0.037414
GHI_anom,0.008557,0.000304,0.01141,0.028188
GHI_lag12,0.007655,-0.000518,0.010438,0.033703
GHI_lag1,0.006616,-0.000986,0.008007,0.017944
sin_month,0.005673,4.8e-05,0.007384,0.020711
GHI_x_CLOUD,0.004984,0.000561,0.005715,0.01322
cos_month,0.004536,0.000299,0.005995,0.013944
ONI_x_CLOUD_anom,0.004262,5.6e-05,0.005667,0.01935
ONI_lag2,0.003479,0.000196,0.004351,0.01223
PRECTOT_anom,0.003363,-0.000106,0.004719,0.017565
ONI,0.002363,3.8e-05,0.002975,0.007409
